FY,Month (abbv),Component,Region,Land Filter,Branch,Drug Type,Count of Event,Sum Qty (lbs)
2026 (FYTD),DEC,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,1702.83
2026 (FYTD),DEC,Air and Marine Operations,Coastal/Interior,Other,Ground Tactical Air Controller,Cocaine,1,43.78
2026 (FYTD),DEC,Air and Marine Operations,Coastal/Interior,Other,Ground Tactical Air Controller,Methamphetamine,3,150.53
2026 (FYTD),DEC,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,1,11.02
2026 (FYTD),DEC,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,1,0.6
2026 (FYTD),DEC,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,2,3.53
2026 (FYTD),DEC,Air and Marine Operations,Southwest Border,Land,El Paso Air Branch,Methamphetamine,1,3.0
2026 (FYTD),DEC,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,1,2.2
2026 (FYTD),DEC,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,2,0.18
2026 (FYTD),DEC,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Methamphetamine,1,1.23
2026 (FYTD),DEC,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,3,3.56
2026 (FYTD),DEC,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,2,4.32
2026 (FYTD),DEC,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Cocaine,1,68.34
2026 (FYTD),DEC,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,1,100.0
2026 (FYTD),NOV,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,1,2.2
2026 (FYTD),NOV,Air and Marine Operations,Coastal/Interior,Other,Ground Tactical Air Controller,Cocaine,1,0.05
2026 (FYTD),NOV,Air and Marine Operations,Coastal/Interior,Other,Ground Tactical Air Controller,Methamphetamine,1,5.4
2026 (FYTD),NOV,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,1,0.02
2026 (FYTD),NOV,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,3,688.62
2026 (FYTD),NOV,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,1,3225.92
2026 (FYTD),NOV,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,4,18.93
2026 (FYTD),NOV,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,4,0.64
2026 (FYTD),NOV,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,2,3.99
2026 (FYTD),NOV,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,2,0.43
2026 (FYTD),NOV,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,1,0.25
2026 (FYTD),NOV,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,3,1.09
2026 (FYTD),NOV,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Fentanyl,2,11.35
2026 (FYTD),NOV,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Methamphetamine,2,98.99
2026 (FYTD),NOV,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,1,1.1
2026 (FYTD),NOV,Air and Marine Operations,Southwest Border,Land,El Paso Air Branch,Fentanyl,2,2.44
2026 (FYTD),NOV,Air and Marine Operations,Southwest Border,Land,El Paso Air Branch,Methamphetamine,2,0.64
2026 (FYTD),NOV,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,1,0.03
2026 (FYTD),NOV,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Marijuana,1,0.33
2026 (FYTD),NOV,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marijuana,1,6.17
2026 (FYTD),NOV,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Methamphetamine,1,1.1
2026 (FYTD),NOV,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,5,16.91
2026 (FYTD),NOV,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Heroin,1,0.76
2026 (FYTD),NOV,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,1,367.51
2026 (FYTD),NOV,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,1,2.2
2026 (FYTD),NOV,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,1,6.99
2026 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,4,6.71
2026 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Marijuana,1,0.02
2026 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Methamphetamine,1,0.02
2026 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,748.02
2026 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,Ground Tactical Air Controller,Cocaine,2,3.0
2026 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,Ground Tactical Air Controller,Fentanyl,2,0.04
2026 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,Ground Tactical Air Controller,Marijuana,2,4.7
2026 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,Ground Tactical Air Controller,Methamphetamine,4,243.15
2026 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,1,0.07
2026 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,9,2.78
2026 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,5,1.26
2026 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,5,462.41
2026 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,2,119.12
2026 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,46.69
2026 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,2,61.940000000000005
