Table 3. State Counts for Fentanyl and Fentanyl-Related Substances: 2017,,,,,,,,,,,,,,
"Counts of fentanyl and fentanyl-related substances submitted to laboratories from January 1, 2017, through December 31, 2017",,,,,,,,,,,,,,
Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,
3-Methylfentanyl,0,0,0,0,0,0,0,2,0,0,0,0,0,
4-Fluoroisobutyryl fentanyl,0,0,0,0,5,0,7,0,16,10,1,0,0,
4-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Acetyl fentanyl,0,0,13,1,14,0,12,2,0,8,0,0,0,
Acryl fentanyl,4,0,0,5,9,0,4,0,0,0,2,0,0,
ANPP,2,0,0,0,24,0,2,7,2,4,0,0,0,
Benzodioxole fentanyl,2,0,0,0,0,0,0,0,0,0,0,0,0,
Benzoylbenzyl fentanyl,0,0,0,0,1,0,0,0,0,0,0,0,0,
Benzylfentanyl,0,0,0,0,1,0,0,0,1,3,0,0,0,
Butyryl fentanyl,2,0,0,0,0,0,2,0,0,18,6,0,0,
Carfentanil,0,0,0,1,7,2,2,0,4,447,14,0,2,
cis-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Crotonyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cyclopentyl fentanyl,0,0,0,0,0,0,0,0,0,1,0,0,0,
Cyclopropyl fentanyl,2,0,8,1,18,0,5,1,2,23,14,0,0,
Cyclopropyl/crotonyl fentanyl,0,0,0,0,0,0,0,0,0,35,0,0,0,
Fentanyl,200,4,363,130,656,27,433,65,94,"1,525",136,1,16,
Fluorobutyryl fentanyl ,0,0,0,0,0,0,0,0,0,1,0,0,0,
Fluorobutyryl/fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fluorofentanyl,0,0,0,0,0,0,0,0,0,1,3,0,0,
Fluoroisobutyryl fentanyl,0,0,0,0,0,0,3,0,0,198,14,0,0,
Furanyl fentanyl,10,0,3,11,18,2,18,6,29,281,40,0,5,
Furanyl/3-Furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Isobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Methoxyacetyl fentanyl,12,0,0,0,7,0,1,0,1,91,12,0,1,
N-Methyl norfentanyl,1,0,0,0,0,0,0,0,0,0,0,0,0,
Norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
o-Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
o-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
o-Fluoro acryl fentanyl,0,0,0,0,0,0,3,0,0,0,0,0,0,
p-Fluorobutyryl fentanyl,0,0,0,0,1,0,0,0,0,1,3,0,0,
Phenyl fentanyl,0,0,0,0,0,0,0,0,0,2,0,0,0,
Tetrahydrofuran fentanyl,0,0,0,0,0,0,0,0,0,4,1,0,0,
Thiofuranyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
trans-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Valeryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Drug,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,
3-Methylfentanyl,0,0,0,0,0,0,0,1,0,1,0,0,0,
4-Fluoroisobutyryl fentanyl,0,0,3,0,3,0,0,65,6,0,0,0,25,
4-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Acetyl fentanyl,7,1,1,0,10,0,10,17,347,3,6,0,12,
Acryl fentanyl,141,144,50,2,45,15,0,6,0,8,34,0,34,
ANPP,6,8,1,0,18,1,0,16,26,2,3,0,2,
Benzodioxole fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Benzoylbenzyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Benzylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Butyryl fentanyl,1,0,0,0,17,0,0,7,2,1,0,0,31,
Carfentanil,12,43,18,1,125,4,0,54,41,85,63,0,2,
cis-3-Methylfentanyl,0,0,0,0,2,0,0,0,0,0,0,0,0,
Crotonyl fentanyl,0,0,0,0,0,0,0,1,0,0,0,0,0,
Cyclopentyl fentanyl,0,0,0,0,1,0,0,0,0,0,0,0,0,
Cyclopropyl fentanyl,0,4,34,1,78,2,0,7,29,5,9,1,6,
Cyclopropyl/crotonyl fentanyl,0,0,0,0,0,0,0,3,4,0,0,0,0,
Fentanyl,"2,787","1,034",250,50,"2,370",215,288,"3,321","6,615",379,162,129,"1,738",
Fluorobutyryl fentanyl ,0,0,0,1,0,0,0,5,1,0,0,0,0,
Fluorobutyryl/fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,4,1,0,0,0,0,
Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fluoroisobutyryl fentanyl,0,4,0,0,4,0,0,3,5,0,0,0,0,
Furanyl fentanyl,144,42,42,20,88,11,4,378,30,11,35,0,24,
Furanyl/3-Furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Isobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Methoxyacetyl fentanyl,1,5,24,0,17,2,0,23,18,0,2,0,7,
N-Methyl norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
o-Fluorobutyryl fentanyl,0,0,0,0,0,0,0,2,0,0,0,0,0,
o-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,1,0,0,0,0,0,
o-Fluoro acryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
p-Fluorobutyryl fentanyl,0,0,1,0,0,0,0,37,0,0,0,0,0,
Phenyl fentanyl,0,0,0,0,0,0,0,3,0,0,0,0,0,
Tetrahydrofuran fentanyl,0,0,0,0,0,1,0,2,0,0,0,0,4,
Thiofuranyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
trans-3-Methylfentanyl,0,0,0,0,2,0,0,0,0,0,0,0,0,
Valeryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
