Table 3. State Counts for Fentanyl and Fentanyl-Related Compounds: 2018,,,,,,,,,,,,,,,
"Counts of fentanyl and fentanyl-related compounds submitted to laboratories from January 1, 2018, through December 31, 2018, and analyzed by March 31, 2019",,,,,,,,,,,,,,,
Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,,
3-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4'-Methyl acetyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4-Fluoroisobutyryl fentanyl,2,0,0,0,4,0,1,1,3,29,0,0,0,,
4-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Acetyl-alpha-methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Acetyl fentanyl,2,0,49,5,62,1,27,18,6,242,2,0,0,,
Acryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ANPP,0,0,5,2,53,0,13,72,0,2,0,0,0,,
Benzyl furanyl fentanyl,0,0,0,4,0,0,0,0,0,10,0,0,0,,
Benzylfentanyl,3,0,0,0,0,0,0,0,0,1,2,0,0,,
beta-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Butyryl fentanyl,0,0,0,0,0,0,0,0,0,4,0,0,0,,
Carfentanil,0,0,0,1,8,1,4,0,0,89,7,0,1,,
cis-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Crotonyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cyclopropyl fentanyl,3,0,4,0,1,1,4,0,1,58,4,0,0,,
Cyclopropyl/crotonyl fentanyl,0,0,0,0,0,0,0,0,0,48,0,0,0,,
Despropionyl fluorofentanyl,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Despropionyl meta-fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Despropionyl ortho-methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Despropionyl para-fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Fentanyl,54,2,"1,001",287,"1,415",95,471,137,53,"2,891",191,0,38,,
Fentanyl carbamate,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Fluorobutyryl fentanyl ,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Fluorobutyryl/fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,1,0,0,,
Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,393,21,0,0,,
Furanyl fentanyl,1,0,0,0,0,0,3,1,7,63,8,0,0,,
Isobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Methoxyacetyl fentanyl,9,0,0,0,4,0,3,2,0,166,9,0,1,,
Methoxybutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Methyl acetyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Methyl cyclopropyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
N-Methyl norfentanyl,2,0,0,0,0,0,0,0,0,6,0,0,0,,
Norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ortho-Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ortho-Methyl acetyl fentanyl,1,0,0,0,0,0,0,0,0,0,0,0,0,,
para-Fluoro benzyl fentanyl,0,0,0,2,0,0,0,0,0,0,0,0,0,,
para-Fluoro cyclopropyl benzyl fentanyl,0,0,0,0,0,0,0,0,0,3,0,0,0,,
para-Fluoro furanyl fentanyl,0,0,0,0,0,0,0,0,0,71,0,0,0,,
para-Fluorobutyryl fentanyl,1,0,0,0,0,0,0,0,0,0,0,0,0,,
para-Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Phenyl fentanyl,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Sufentanil,0,0,0,0,1,0,0,0,0,0,0,0,0,,
Thiofuranyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
trans-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Valeryl fentanyl,0,0,0,0,2,0,2,7,0,16,0,0,0,,
State,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,,
3-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4'-Methyl acetyl Fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4-Fluoroisobutyryl fentanyl,0,2,4,0,4,0,0,114,8,0,46,0,0,,
4-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Acetyl-alpha-methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Acetyl fentanyl,74,71,26,4,205,8,20,128,923,10,69,5,60,,
Acryl fentanyl,14,6,5,0,6,1,0,0,0,0,3,0,9,,
ANPP,9,15,3,0,128,14,4,257,57,6,8,0,10,,
Benzyl furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,2,0,0,,
Benzylfentanyl,2,0,0,0,0,0,0,0,2,0,0,0,0,,
