Table 3. State Counts for Fentanyl and Fentanyl-Related Compounds: 2020,,,,,,,,,,,,,
"Counts of fentanyl and fentanyl-related compounds submitted to laboratories from January 1, 2020, through December 31, 2020, and analyzed by March 31, 2021",,,,,,,,,,,,,
,,,,,,,,,,,,,
Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho
3-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
4?-Methyl acetyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetyl fentanyl,1,0,8,2,31,0,4,0,0,49,1,0,0
Acetyl-alpha-methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Acryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
ANPP,28,0,12,1,578,3,16,2,3,64,16,0,0
Benzylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Butyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Carfentanil,0,0,0,1,1,1,0,0,0,17,11,0,0
cis-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Crotonyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclopropyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclopropyl/crotonyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Despropionyl fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Despropionyl para-fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Fentanyl,116,54,"7,936",424,"4,454",649,314,12,96,"6,396",591,22,151
Fentanyl carbamate,0,0,0,0,0,0,0,0,0,0,0,0,0
Fentanyl-related compound (unspecified),0,0,0,0,0,0,0,0,0,0,0,0,0
Fluoro furanyl fentanyl,0,0,0,0,0,0,0,0,0,2,0,0,0
Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluorofentanyl,0,0,0,0,2,0,0,0,0,7,0,0,0
Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,5,0,0,0
Furanyl benzyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Furanyl fentanyl,0,0,0,12,0,0,0,0,0,3,1,0,0
Methoxyacetyl fentanyl,0,0,0,0,0,0,0,0,0,0,1,0,0
Methyl acetyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
N-Methyl norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfentanyl,0,0,0,0,1,0,0,0,0,0,0,0,0
ortho-Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
para-Fluoro benzyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
para-Fluoro furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
para-Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
para-Fluorofentanyl,0,0,0,0,13,0,0,0,0,5,0,0,0
para-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,2,0,0
Phenyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Sufentanil,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiofuranyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
trans-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Valeryl fentanyl,0,0,0,0,12,0,3,0,0,0,0,0,0
Drug,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri
3-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
4?-Methyl acetyl fentanyl,0,0,0,0,0,0,0,1,0,0,0,0,0
Acetyl fentanyl,44,83,52,3,292,5,36,100,319,83,32,2,32
Acetyl-alpha-methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Acryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
ANPP,25,21,2,84,2,97,6,685,11,254,217,4,17
Benzylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Butyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Carfentanil,7,3,0,0,7,1,0,0,3,0,26,0,1
cis-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Crotonyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclopropyl fentanyl,2,0,0,0,0,0,0,0,0,0,0,0,0
Cyclopropyl/crotonyl fentanyl,0,0,0,0,0,0,0,0,0,0,1,0,0
Despropionyl fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Despropionyl para-fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Fentanyl,"5,110","1,934",619,242,"3,850","1,283",540,"4,740","4,697","1,641",984,345,"4,332"
Fentanyl carbamate,0,0,0,0,0,0,0,0,0,0,0,0,0
Fentanyl-related compound (unspecified),0,0,0,0,0,0,0,0,0,0,0,0,0
Fluoro furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluorofentanyl,1,0,0,4,5,0,0,0,35,0,0,0,1
Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,3,0,0,0,0
Furanyl benzyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Furanyl fentanyl,0,0,0,0,0,1,0,2,0,0,0,0,0
Methoxyacetyl fentanyl,0,1,5,0,0,0,0,0,0,0,2,0,0
Methyl acetyl Fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
N-Methyl norfentanyl,0,0,0,0,0,0,0,0,0,0,0,1,0
Norfentanyl,0,0,0,0,1,0,0,0,0,0,0,0,0
ortho-Fluorofentanyl,0,0,0,0,10,0,0,0,0,0,0,0,1
para-Fluoro benzyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
para-Fluoro furanyl fentanyl,0,1,0,0,0,0,0,1,3,0,0,0,0
para-Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
para-Fluorofentanyl,13,0,0,0,1,1,0,1,3,0,0,0,12
para-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,3,0,0,3,0,0
Phenyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Sufentanil,0,0,0,0,0,1,0,0,0,0,0,0,0
Thiofuranyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
trans-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Valeryl fentanyl,2,7,0,0,65,0,0,3,63,0,7,0,22
