Table 3. State Counts for Fentanyl and Fentanyl-Related Substances: 2021,,,,,,,,,,,,,,
"Counts of fentanyl and fentanyl-related compounds submitted to laboratories from January 1, 2021, through December 31, 2021, and analyzed by March 31, 2022",,,,,,,,,,,,,,
Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,
1-Boc-4-(4-fluoroanilino)piperidine,0,0,0,0,1,0,0,0,0,0,0,0,0,
1-Boc-4-piperidone,0,0,0,0,0,0,0,0,0,0,0,0,0,
1-Phenethyl-4-hydroxypiperidine,0,0,0,0,3,0,0,0,0,0,0,0,0,
1-Phenethyl-4-propionyloxypiperidine,0,0,0,0,5,0,0,0,0,0,0,0,0,
1-Propionyl-4-anilinopiperidine,0,0,0,0,6,0,0,0,0,0,0,0,0,
3-Fluorofentanyl,0,0,0,0,1,0,0,0,0,0,0,0,0,
3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
4-Carbomethoxy 4-ANPP,0,0,0,0,0,0,0,0,0,0,3,0,0,
4-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
4-Fluorophenethyl 4-ANPP,0,0,0,0,5,0,0,0,0,0,0,0,0,
Acetyl fentanyl,2,5,7,1,55,2,16,1,0,63,1,0,1,
Acryl fentanyl,1,0,0,0,0,0,0,0,0,0,1,0,0,
ANPP,73,0,136,8,776,5,13,0,6,91,33,37,11,
Benzyl acryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Benzylfentanyl,0,0,0,0,6,0,0,0,0,0,0,0,0,
beta-Methyl acetyl fentanyl,0,0,0,0,3,0,0,0,0,0,0,0,0,
Butyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Carfentanil,0,0,0,0,0,0,0,0,0,3,9,0,0,
Chloro 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chlorofentanyl,0,0,0,0,2,0,2,0,0,1,0,0,0,
Cyclopropyl fentanyl,0,0,0,0,1,0,0,0,0,0,0,0,0,
Fentanyl,287,132,"13,425",823,"8,060","1,945",493,36,109,"7,952","1,056",131,948,
Fentanyl carbamate,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fentanyl-related compound (unspecified),0,0,0,0,0,0,0,0,0,0,0,0,1,
Fluoro 4-anilinopiperidine,0,0,0,0,1,0,0,0,0,0,0,0,0,
Fluoro 4-ANPP,0,0,5,0,9,0,0,0,0,0,0,0,3,
Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fluorofentanyl,0,0,22,0,282,16,0,0,0,398,0,0,95,
Fluoro furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,1,0,0,0,
Fluorophenethyl 4-ANPP,0,0,0,0,16,0,0,0,0,0,0,0,0,
N-Benzyl furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Furanyl fentanyl,0,0,0,0,0,0,0,0,0,3,0,0,0,
Isobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
meta-Fluoro 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,0,
