Table 3. State Counts for Fentanyl and Fentanyl-Related Compounds: 2019,,,,,,,,,,,,,,,,
"Counts of fentanyl and fentanyl-related compounds submitted to laboratories from January 1, 2019, through December 31, 2019, and analyzed by March 31, 2020",,,,,,,,,,,,,,,,
Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,,,
3-Furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Acetyl-alpha-methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Acetyl fentanyl,10,0,10,2,58,2,43,2,2,465,3,0,0,,,
Acryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ANPP,5,1,1,0,161,0,25,2,0,88,4,1,0,,,
Benzylfentanyl,0,0,0,0,1,0,0,0,0,3,0,0,0,,,
beta-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Butyryl fentanyl,0,0,0,0,0,0,0,0,0,5,0,0,0,,,
Carfentanil,2,0,0,1,4,0,0,0,0,13,16,0,0,,,
Crotonyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Cyclopropyl/crotonyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Cyclopropyl fentanyl,0,0,0,0,1,2,0,0,0,0,2,0,0,,,
Despropionyl fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Despropionyl ortho-methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Despropionyl para-fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Fentanyl,139,9,"3,229",305,"2,933",275,492,47,100,"4,387",203,4,57,,,
Fentanyl carbamate,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Fluoro furanyl fentanyl,0,0,0,0,0,0,0,0,0,94,1,0,0,,,
Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,190,6,0,0,,,
Furanyl benzyl fentanyl,1,0,0,0,2,0,0,0,0,2,0,0,0,,,
Furanyl fentanyl,0,0,0,0,1,3,1,0,1,23,2,0,0,,,
Isobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
Methoxyacetyl fentanyl,1,0,0,0,0,0,0,0,2,32,1,0,0,,,
Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
N-Methyl norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ortho-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
para-Fluoro benzyl fentanyl,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
para-Fluoro cyclopropyl benzyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
para-Fluoro furanyl fentanyl,0,0,0,0,0,3,0,0,0,3,0,0,0,,,
para-Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
para-Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
para-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,1,0,3,6,1,0,0,,,
Phenyl fentanyl,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
Tetrahydrofuran fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Thiofuranyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Unspecified fentanyl-related compounds,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Valeryl fentanyl,0,0,3,1,37,0,6,1,0,13,3,0,0,,,
Drug,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,,,
3-Furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Acetyl-alpha-methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Acetyl fentanyl,95,134,42,1,413,5,37,789,"1,676",126,145,2,57,,,
Acryl fentanyl,3,0,0,0,0,0,0,0,0,0,0,0,2,,,
ANPP,20,25,9,20,330,32,5,617,57,83,81,1,21,,,
Benzylfentanyl,0,0,0,0,0,0,0,0,0,0,3,0,0,,,
beta-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Butyryl fentanyl,0,0,0,0,0,0,0,0,1,0,0,0,0,,,
Carfentanil,4,1,3,0,5,3,0,0,13,2,1,0,0,,,
Crotonyl fentanyl,0,0,0,0,0,0,0,0,1,0,8,0,0,,,
Cyclopropyl/crotonyl fentanyl,0,0,0,0,0,0,0,0,0,0,4,0,0,,,
Cyclopropyl fentanyl,1,1,0,0,0,2,0,2,3,0,10,0,2,,,
Despropionyl fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Despropionyl ortho-methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Despropionyl para-fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Fentanyl,"2,458","2,040",461,158,"3,208",468,384,"5,887","8,899","1,736",590,139,"3,456",,,
Fentanyl carbamate,0,0,0,0,0,0,0,0,1,0,0,0,0,,,
Fluoro furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Fluoroisobutyryl fentanyl,0,0,0,0,2,0,0,0,18,0,0,0,0,,,
Furanyl benzyl fentanyl,0,0,0,0,3,0,0,0,0,0,7,0,0,,,
Furanyl fentanyl,49,3,3,0,1,0,0,13,2,0,1,0,1,,,
Isobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Methoxyacetyl fentanyl,0,7,4,0,3,2,0,0,6,0,3,0,0,,,
Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
N-Methyl norfentanyl,1,0,0,0,1,0,0,0,1,0,0,0,0,,,
Norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ortho-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
para-Fluoro benzyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
para-Fluoro cyclopropyl benzyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
para-Fluoro furanyl fentanyl,0,0,5,0,0,0,0,0,0,0,0,0,0,,,
para-Fluorobutyryl fentanyl,0,0,0,0,0,0,0,7,0,0,0,0,0,,,
para-Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
para-Fluoroisobutyryl fentanyl,1,0,5,0,1,0,2,28,1,0,11,0,1,,,
Phenyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Tetrahydrofuran fentanyl,0,0,0,0,0,1,0,0,0,0,0,0,0,,,
Thiofuranyl fentanyl,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
Unspecified fentanyl-related compounds,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Valeryl fentanyl,9,2,5,0,107,0,1,9,528,2,1,0,101,,,
Drug,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,,,
3-Furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3-Methylfentanyl,0,0,0,0,5,0,0,0,0,13,0,0,99,,,
Acetyl-alpha-methylfentanyl,0,0,0,0,1,0,0,0,0,0,0,0,0,,,
Acetyl fentanyl,0,5,1,259,"1,434",1,137,30,4,"3,895",1,10,"1,566",,,
Acryl fentanyl,0,0,0,0,0,0,0,0,0,19,0,0,0,,,
ANPP,0,1,1,2,"2,709",10,174,17,0,790,1,0,128,,,
Benzylfentanyl,0,0,0,0,0,0,0,0,0,19,1,0,16,,,
beta-Methylfentanyl,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Butyryl fentanyl,0,0,0,0,0,0,78,0,0,15,0,0,5,,,
Carfentanil,0,0,0,1,0,0,11,3,1,"2,712",0,0,65,,,
Crotonyl fentanyl,0,0,0,0,0,0,0,0,0,6,0,0,0,,,
Cyclopropyl/crotonyl fentanyl,0,0,0,0,5,0,0,0,0,2,0,0,0,,,
Cyclopropyl fentanyl,0,0,0,0,0,0,1,0,0,20,1,3,7,,,
Despropionyl fluorofentanyl,0,0,0,0,7,0,0,0,0,0,0,0,0,,,
Despropionyl ortho-methylfentanyl,0,0,0,0,0,0,0,0,0,3,0,0,0,,,
Despropionyl para-fluorofentanyl,0,0,0,0,0,0,1,0,0,0,0,0,1,,,
Fentanyl,27,16,83,"1,455","9,754",122,"6,899",373,171,"17,064",114,194,"11,808",,,
Fentanyl carbamate,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Fluoro furanyl fentanyl,0,0,0,0,51,0,0,0,0,22,0,0,9,,,
Fluorobutyryl fentanyl,0,0,0,0,8,0,0,0,0,0,0,0,0,,,
Fluorofentanyl,0,0,0,0,0,0,0,0,0,14,0,0,0,,,
Fluoroisobutyryl fentanyl,0,0,0,0,146,0,1,0,0,6,0,0,53,,,
Furanyl benzyl fentanyl,0,0,0,0,2,0,1,2,0,17,0,0,1,,,
Furanyl fentanyl,0,0,0,0,76,1,2,0,0,23,0,2,13,,,
Isobutyryl fentanyl,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Methoxyacetyl fentanyl,0,0,0,0,2,0,0,0,0,91,0,0,4,,,
Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,3,,,
N-Methyl norfentanyl,0,0,0,0,0,0,0,0,0,26,0,0,0,,,
Norfentanyl,0,0,0,0,1,0,0,0,0,0,0,0,0,,,
ortho-Fluoroisobutyryl fentanyl,0,0,0,0,1,0,0,0,0,0,0,0,0,,,
para-Fluoro benzyl fentanyl,0,0,0,0,0,0,0,0,0,9,0,0,0,,,
para-Fluoro cyclopropyl benzyl fentanyl,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
para-Fluoro furanyl fentanyl,0,0,0,0,0,0,0,0,0,125,0,0,0,,,
para-Fluorobutyryl fentanyl,0,0,0,0,6,0,0,0,0,0,0,0,0,,,
para-Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
para-Fluoroisobutyryl fentanyl,0,0,0,0,29,0,11,6,0,14,0,0,19,,,
Phenyl fentanyl,0,0,0,0,14,0,2,0,0,42,0,0,0,,,
Tetrahydrofuran fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Thiofuranyl fentanyl,0,0,0,0,1,0,0,0,1,0,0,0,1,,,
Unspecified fentanyl-related compounds,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Valeryl fentanyl,0,0,0,47,140,0,2,3,0,584,0,1,392,,,
Drug,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,,,
3-Furanyl fentanyl,0,0,0,0,0,0,0,0,0,4,0,0,,,,
3-Methylfentanyl,0,0,0,0,0,0,0,5,0,2,0,0,,,,
Acetyl-alpha-methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Acetyl fentanyl,81,187,0,218,1,0,34,321,14,156,48,1,,,,
Acryl fentanyl,0,0,0,0,0,0,0,0,0,2,1,0,,,,
ANPP,7,0,0,189,27,0,70,118,38,19,14,0,,,,
Benzylfentanyl,2,0,0,0,7,0,0,0,0,0,1,0,,,,
beta-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Butyryl fentanyl,0,1,0,3,0,0,0,12,0,0,0,0,,,,
Carfentanil,31,1,0,32,40,1,0,8,4,35,0,0,,,,
Crotonyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Cyclopropyl/crotonyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Cyclopropyl fentanyl,0,0,0,0,0,0,0,0,1,2,1,1,,,,
Despropionyl fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Despropionyl ortho-methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Despropionyl para-fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Fentanyl,643,"1,246",7,"1,970",419,68,326,"3,342",586,"1,100",585,23,,,,
Fentanyl carbamate,0,0,0,0,0,0,0,0,0,3,0,0,,,,
Fluoro furanyl fentanyl,0,2,0,0,0,0,0,0,0,4,0,0,,,,
Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,18,0,0,,,,
Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Fluoroisobutyryl fentanyl,0,7,0,1,0,0,0,0,0,0,1,0,,,,
Furanyl benzyl fentanyl,0,3,0,0,0,0,0,0,0,0,0,0,,,,
Furanyl fentanyl,8,3,0,1,0,1,0,1,3,5,3,0,,,,
Isobutyryl fentanyl,0,0,0,0,0,0,0,0,0,18,0,0,,,,
Methoxyacetyl fentanyl,1,3,0,1,2,0,0,3,1,3,1,0,,,,
Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,,
N-Methyl norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ortho-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,,
para-Fluoro benzyl fentanyl,0,2,0,0,0,0,0,0,0,0,0,0,,,,
para-Fluoro cyclopropyl benzyl fentanyl,0,0,0,0,0,0,0,0,0,0,1,0,,,,
para-Fluoro furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,,
para-Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,,
para-Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,,
para-Fluoroisobutyryl fentanyl,2,1,0,0,0,0,0,30,0,0,0,0,,,,
Phenyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Tetrahydrofuran fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Thiofuranyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Unspecified fentanyl-related compounds,0,1,0,0,0,0,0,1,0,0,0,0,,,,
Valeryl fentanyl,32,10,0,13,0,0,0,23,0,8,1,0,,,,
ANPP=4-anilino-N-phenethyl-4-piperidine,,,,,,,,,,,,,,,,
