state_name,state_abbr,year,nflis_fentanyl_reports,nflis_related_reports_total,nflis_analog_reports,nflis_unique_compounds_detected,nflis_top_compound_1,nflis_top_compound_1_reports,nflis_top_compound_2,nflis_top_compound_2_reports,nflis_top_compound_3,nflis_top_compound_3_reports,nflis_top_analog_1,nflis_top_analog_1_reports,nflis_top_analog_2,nflis_top_analog_2_reports,nflis_top_analog_3,nflis_top_analog_3_reports,nflis_table3_source_file,nflis_source_url,dea_fpp_powder_seizures,dea_fpp_tablet_seizures,dea_fpp_avg_powder_purity_pct,dea_fpp_avg_tablet_potency_mg,dea_fpp_dominant_composition_notes,dea_fpp_source_url,dea_fpp_source_pub_date,dea_fpp_extraction_status,record_generated_utc
Alaska,AK,2017,4,4,0,1,Fentanyl,4,,,,,,,,,,,2017NFLISWebsiteTable3.csv,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,,,,2026-03-03T16:42:27Z
Alabama,AL,2017,200,235,35,9,Fentanyl,200,Methoxyacetyl fentanyl,12,Furanyl fentanyl,10,Methoxyacetyl fentanyl,12,Furanyl fentanyl,10,Acryl fentanyl,4,2017NFLISWebsiteTable3.csv,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,,,,2026-03-03T16:42:27Z
Arkansas,AR,2017,130,149,19,6,Fentanyl,130,Furanyl fentanyl,11,Acryl fentanyl,5,Furanyl fentanyl,11,Acryl fentanyl,5,Acetyl fentanyl,1,2017NFLISWebsiteTable3.csv,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,,,,2026-03-03T16:42:27Z
Arizona,AZ,2017,363,387,24,4,Fentanyl,363,Acetyl fentanyl,13,Cyclopropyl fentanyl,8,Acetyl fentanyl,13,Cyclopropyl fentanyl,8,Furanyl fentanyl,3,2017NFLISWebsiteTable3.csv,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,,,,2026-03-03T16:42:27Z
California,CA,2017,656,761,105,12,Fentanyl,656,ANPP,24,Cyclopropyl fentanyl,18,ANPP,24,Cyclopropyl fentanyl,18,Furanyl fentanyl,18,2017NFLISWebsiteTable3.csv,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,,,,2026-03-03T16:42:27Z
Colorado,CO,2017,27,31,4,3,Fentanyl,27,Carfentanil,2,Furanyl fentanyl,2,Carfentanil,2,Furanyl fentanyl,2,,,2017NFLISWebsiteTable3.csv,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,,,,2026-03-03T16:42:27Z
Connecticut,CT,2017,433,492,59,12,Fentanyl,433,Furanyl fentanyl,18,Acetyl fentanyl,12,Furanyl fentanyl,18,Acetyl fentanyl,12,4-Fluoroisobutyryl fentanyl,7,2017NFLISWebsiteTable3.csv,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,,,,2026-03-03T16:42:27Z
District of Columbia,DC,2017,94,149,55,8,Fentanyl,94,Furanyl fentanyl,29,4-Fluoroisobutyryl fentanyl,16,Furanyl fentanyl,29,4-Fluoroisobutyryl fentanyl,16,Carfentanil,4,2017NFLISWebsiteTable3.csv,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,,,,2026-03-03T16:42:27Z
Delaware,DE,2017,65,83,18,6,Fentanyl,65,ANPP,7,Furanyl fentanyl,6,ANPP,7,Furanyl fentanyl,6,3-Methylfentanyl,2,2017NFLISWebsiteTable3.csv,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,,,,2026-03-03T16:42:27Z
Florida,FL,2017,1525,2653,1128,18,Fentanyl,1525,Carfentanil,447,Furanyl fentanyl,281,Carfentanil,447,Furanyl fentanyl,281,Fluoroisobutyryl fentanyl,198,2017NFLISWebsiteTable3.csv,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,,,,2026-03-03T16:42:27Z
