LABTYPE,RPTAGGR,YYYY,PERIOD,DRUG_REPORTS,QUERY_RUN_DATE,SUBSTANCE_ID,SUBSTANCE_DESCRIPTION,BASE_ID,BASE_DESCRIPTION,DRUG_CATEGORY_CODE,DRUG_CATEGORY_DESCRIPTION,STATE,STATE_LONG_NAME,STATE_FIPS
"Local/Municipal,State,Federal,Private","DrugReport  ","2019","SA2 (JUL - DEC)","4514","2026-03-03 13:26:55","1504","FENTANYL","1504","Fentanyl","33","Fentanyl and Fentanyl-related","PA","Pennsylvania","42"
"Local/Municipal,State,Federal,Private","DrugReport  ","2021","SA1 (JAN - JUN)","178","2026-03-03 13:26:55","3965","FLUOROFENTANYL","3965","Fluorofentanyl","33","Fentanyl and Fentanyl-related","FL","Florida","12"
"Local/Municipal,State,Federal,Private","DrugReport  ","2025","SA1 (JAN - JUN)","589","2026-03-03 13:26:55","1504","FENTANYL","1504","Fentanyl","33","Fentanyl and Fentanyl-related","NH","New Hampshire","33"
"Local/Municipal,State,Federal,Private","DrugReport  ","2023","SA2 (JUL - DEC)","34","2026-03-03 13:26:55","1021","4-ANILINO-1-PHENETHYLPIPERIDINE","1021","4-ANPP","33","Fentanyl and Fentanyl-related","WI","Wisconsin","55"
"Local/Municipal,State,Federal,Private","DrugReport  ","2025","SA1 (JAN - JUN)","67","2026-03-03 13:26:55","1517","P-FLUOROFENTANYL","1517","para-Fluorofentanyl","33","Fentanyl and Fentanyl-related","AZ","Arizona","04"
"Local/Municipal,State,Federal,Private","DrugReport  ","2022","SA1 (JAN - JUN)","1330","2026-03-03 13:26:55","3965","FLUOROFENTANYL","3965","Fluorofentanyl","33","Fentanyl and Fentanyl-related","OH","Ohio","39"
"Local/Municipal,State,Federal,Private","DrugReport  ","2022","SA2 (JUL - DEC)","1332","2026-03-03 13:26:55","1504","FENTANYL","1504","Fentanyl","33","Fentanyl and Fentanyl-related","MN","Minnesota","27"
"Local/Municipal,State,Federal,Private","DrugReport  ","2019","SA2 (JUL - DEC)","23","2026-03-03 13:26:55","2408","FENTANYL SALT UNDETERMINED","1504","Fentanyl","33","Fentanyl and Fentanyl-related","SC","South Carolina","45"
"Local/Municipal,State,Federal,Private","DrugReport  ","2020","SA1 (JAN - JUN)","150","2026-03-03 13:26:55","1504","FENTANYL","1504","Fentanyl","33","Fentanyl and Fentanyl-related","AR","Arkansas","05"
"Local/Municipal,State,Federal,Private","DrugReport  ","2025","SA2 (JUL - DEC)","300","2026-03-03 13:26:55","3965","FLUOROFENTANYL","3965","Fluorofentanyl","33","Fentanyl and Fentanyl-related","OH","Ohio","39"
"Local/Municipal,State,Federal,Private","DrugReport  ","2020","SA2 (JUL - DEC)","145","2026-03-03 13:26:55","3340","ACETYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLACETAMIDE)","3340","Acetyl fentanyl","33","Fentanyl and Fentanyl-related","NJ","New Jersey","34"
"Local/Municipal,State,Federal,Private","DrugReport  ","2020","SA1 (JAN - JUN)","51","2026-03-03 13:26:55","2408","FENTANYL SALT UNDETERMINED","1504","Fentanyl","33","Fentanyl and Fentanyl-related","DC","District of Columbia","11"
"Local/Municipal,State,Federal,Private","DrugReport  ","2018","SA2 (JUL - DEC)","138","2026-03-03 13:26:55","2408","FENTANYL SALT UNDETERMINED","1504","Fentanyl","33","Fentanyl and Fentanyl-related","PA","Pennsylvania","42"
"Local/Municipal,State,Federal,Private","DrugReport  ","2022","SA2 (JUL - DEC)","7","2026-03-03 13:26:55","1021","4-ANILINO-1-PHENETHYLPIPERIDINE","1021","4-ANPP","33","Fentanyl and Fentanyl-related","ID","Idaho","16"
"Local/Municipal,State,Federal,Private","DrugReport  ","2017","SA1 (JAN - JUN)","70","2026-03-03 13:26:55","3890","FLUOROISOBUTYRYLFENTANYL","3890","Fluoroisobutyryl fentanyl","33","Fentanyl and Fentanyl-related","NJ","New Jersey","34"
"Local/Municipal,State,Federal,Private","DrugReport  ","2025","SA2 (JUL - DEC)","14","2026-03-03 13:26:55","3340","ACETYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLACETAMIDE)","3340","Acetyl fentanyl","33","Fentanyl and Fentanyl-related","MO","Missouri","29"
"Local/Municipal,State,Federal,Private","DrugReport  ","2017","SA2 (JUL - DEC)","18","2026-03-03 13:26:55","4069","METHOXYACETYL FENTANYL (2-METHOXY-N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLACETAMIDE)","4069","Methoxyacetyl fentanyl","33","Fentanyl and Fentanyl-related","MA","Massachusetts","25"
"Local/Municipal,State,Federal,Private","DrugReport  ","2017","SA2 (JUL - DEC)","12","2026-03-03 13:26:55","3853","ACRYL FENTANYL (ACRYLOYLFENTANYL; N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLACRYLAMIDE)","3853","Acryl fentanyl","33","Fentanyl and Fentanyl-related","SC","South Carolina","45"
"Local/Municipal,State,Federal,Private","DrugReport  ","2018","SA1 (JAN - JUN)","2","2026-03-03 13:26:55","3847","4-FLUOROISOBUTYRYL FENTANYL (P-FLUOROISOBUTYRYL FENTANYL, PARA-FLUOROISOBUTYRYL FENTANYL; N-(4-FLUOROPHENYL)-N-(1-PHENETHYLPIPERIDIN-4-YL)ISOBUTYRAMIDE), SALT UNDETERMINED","3845","para-Fluoroisobutyryl fentanyl","33","Fentanyl and Fentanyl-related","IA","Iowa","19"
"Local/Municipal,State,Federal,Private","DrugReport  ","2025","SA1 (JAN - JUN)","89","2026-03-03 13:26:55","2408","FENTANYL SALT UNDETERMINED","1504","Fentanyl","33","Fentanyl and Fentanyl-related","PR","Puerto Rico","72"
"Local/Municipal,State,Federal,Private","DrugReport  ","2018","SA2 (JUL - DEC)","51","2026-03-03 13:26:55","3824","VALERYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLPENTANAMIDE)","3824","Valeryl fentanyl","33","Fentanyl and Fentanyl-related","NJ","New Jersey","34"
"Local/Municipal,State,Federal,Private","DrugReport  ","2023","SA2 (JUL - DEC)","100","2026-03-03 13:26:55","2408","FENTANYL SALT UNDETERMINED","1504","Fentanyl","33","Fentanyl and Fentanyl-related","MD","Maryland","24"
"Local/Municipal,State,Federal,Private","DrugReport  ","2018","SA1 (JAN - JUN)","9","2026-03-03 13:26:55","4059","CYCLOPROPYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLCYCLOPROPANECARBOXAMIDE)","4059","Cyclopropyl fentanyl","33","Fentanyl and Fentanyl-related","IA","Iowa","19"
"Local/Municipal,State,Federal,Private","DrugReport  ","2023","SA1 (JAN - JUN)","30","2026-03-03 13:26:55","1517","P-FLUOROFENTANYL","1517","para-Fluorofentanyl","33","Fentanyl and Fentanyl-related","ND","North Dakota","38"
"Local/Municipal,State,Federal,Private","DrugReport  ","2017","SA1 (JAN - JUN)","16","2026-03-03 13:26:55","2408","FENTANYL SALT UNDETERMINED","1504","Fentanyl","33","Fentanyl and Fentanyl-related","PR","Puerto Rico","72"
