fiscal_year_label,fiscal_year,fiscal_year_is_partial,month_abbr,month_num,calendar_year,calendar_month_label,calendar_month_start,component,region,land_filter,branch,branch_type,drug_type,count_of_event,sum_qty_lbs,source_file
2019,2019,false,OCT,10,2018,2018-10,2018-10-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,6,13.909999999999998,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,OCT,10,2018,2018-10,2018-10-01,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Air Branch,Fentanyl,2,3.2,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,OCT,10,2018,2018-10,2018-10-01,Air and Marine Operations,Coastal/Interior,Other,NASOC - Albuquerque,NASOC,Fentanyl,2,224.91,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,NOV,11,2018,2018-11,2018-11-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,2,0.26,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,NOV,11,2018,2018-11,2018-11-01,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marine Branch,Fentanyl,1,4.41,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,NOV,11,2018,2018-11,2018-11-01,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Air Branch,Fentanyl,1,11.9,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,NOV,11,2018,2018-11,2018-11-01,Air and Marine Operations,Coastal/Interior,Other,NASOC - Albuquerque,NASOC,Fentanyl,1,0.66,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,NOV,11,2018,2018-11,2018-11-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,2,3.05,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,DEC,12,2018,2018-12,2018-12-01,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Air Branch,Fentanyl,1,0.93,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,DEC,12,2018,2018-12,2018-12-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,2,0.0699999999999999,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,DEC,12,2018,2018-12,2018-12-01,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marine Branch,Fentanyl,1,2.98,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,3,0.01,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Marine Branch,Fentanyl,1,0.99,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,FEB,2,2019,2019-02,2019-02-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,3,0.0,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,FEB,2,2019,2019-02,2019-02-01,Air and Marine Operations,Coastal/Interior,Other,NASOC - Albuquerque,NASOC,Fentanyl,1,17.42,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,FEB,2,2019,2019-02,2019-02-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,1,8.38,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,1,0.12,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marine Branch,Fentanyl,1,0.07,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Air and Marine Operations,Coastal/Interior,Other,NASOC - Albuquerque,NASOC,Fentanyl,1,19.84,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,1,0.03,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,APR,4,2019,2019-04,2019-04-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,3,1.34,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,APR,4,2019,2019-04,2019-04-01,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,1,0.06,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,APR,4,2019,2019-04,2019-04-01,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Marine Branch,Fentanyl,1,4.12,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,APR,4,2019,2019-04,2019-04-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,1,0.51,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,MAY,5,2019,2019-05,2019-05-01,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marine Branch,Fentanyl,1,15.21,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,MAY,5,2019,2019-05,2019-05-01,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Marine Branch,Fentanyl,1,1.66,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,MAY,5,2019,2019-05,2019-05-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,2,5.220000000000001,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,JUN,6,2019,2019-06,2019-06-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,3,0.64,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,JUN,6,2019,2019-06,2019-06-01,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marine Branch,Fentanyl,1,0.07,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,JUN,6,2019,2019-06,2019-06-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,3,14.89,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,JUL,7,2019,2019-07,2019-07-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,3,0.94,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,JUL,7,2019,2019-07,2019-07-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,3,1.71,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,AUG,8,2019,2019-08,2019-08-01,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Air Branch,Fentanyl,1,0.03,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,AUG,8,2019,2019-08,2019-08-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,1,0.0,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,AUG,8,2019,2019-08,2019-08-01,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,2,25.35,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,AUG,8,2019,2019-08,2019-08-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,2,3.8,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,SEP,9,2019,2019-09,2019-09-01,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Marine Branch,Fentanyl,1,0.26,amo-drug-seizures-fy19-fy22.csv
2019,2019,false,SEP,9,2019,2019-09,2019-09-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,1,0.06,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,OCT,10,2019,2019-10,2019-10-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,4,91.5,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,OCT,10,2019,2019-10,2019-10-01,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marine Branch,Fentanyl,1,0.01,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,OCT,10,2019,2019-10,2019-10-01,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Air Branch,Fentanyl,2,37.28,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,OCT,10,2019,2019-10,2019-10-01,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Marine Branch,Fentanyl,3,28.58,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,OCT,10,2019,2019-10,2019-10-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,3,1.62,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,NOV,11,2019,2019-11,2019-11-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,5,2.28,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,NOV,11,2019,2019-11,2019-11-01,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Air Branch,Fentanyl,2,31.92,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,NOV,11,2019,2019-11,2019-11-01,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Marine Branch,Fentanyl,3,37.53,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,NOV,11,2019,2019-11,2019-11-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,3,0.24,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,DEC,12,2019,2019-12,2019-12-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,2,7.300000000000001,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,JAN,1,2020,2020-01,2020-01-01,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Air Branch,Fentanyl,1,0.36,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,JAN,1,2020,2020-01,2020-01-01,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Marine Branch,Fentanyl,1,0.33,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,JAN,1,2020,2020-01,2020-01-01,Air and Marine Operations,Southwest Border,Land,San Diego Air And Marine Branch,Marine Branch,Fentanyl,1,2.2,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,JAN,1,2020,2020-01,2020-01-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,2,14.32,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,FEB,2,2020,2020-02,2020-02-01,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Air Branch,Fentanyl,1,0.0,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,FEB,2,2020,2020-02,2020-02-01,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Other,Fentanyl,1,0.77,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,FEB,2,2020,2020-02,2020-02-01,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Air Branch,Fentanyl,1,0.05,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,FEB,2,2020,2020-02,2020-02-01,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Marine Branch,Fentanyl,1,33.07,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,FEB,2,2020,2020-02,2020-02-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,2,1.97,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,MAR,3,2020,2020-03,2020-03-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,1,0.55,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,MAR,3,2020,2020-03,2020-03-01,Air and Marine Operations,Coastal/Interior,Other,Mexico City IAC,Other,Fentanyl,2,13.23,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,MAR,3,2020,2020-03,2020-03-01,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Marine Branch,Fentanyl,1,0.08,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,MAR,3,2020,2020-03,2020-03-01,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Marine Branch,Fentanyl,1,11.46,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,MAR,3,2020,2020-03,2020-03-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,2,2.66,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,APR,4,2020,2020-04,2020-04-01,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Air Branch,Fentanyl,1,6.97,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,APR,4,2020,2020-04,2020-04-01,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marine Branch,Fentanyl,1,0.0,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,APR,4,2020,2020-04,2020-04-01,Air and Marine Operations,Coastal/Interior,Other,Mexico City IAC,Other,Fentanyl,2,29.51,amo-drug-seizures-fy19-fy22.csv
