state_abbr,state_name,year,hs6,goods_description,shipment_records,total_quantity_kg,total_value_usd
CA,California,2016,270730,XILENOS.(ORDEN 2),1,973.0,1239.454
CA,California,2016,271012,ETER DE PETROLEO.(ORDEN 6),1,973.0,5408.627
CA,California,2016,282760,YODURO DE POTASIO.(ORDEN 18),1,200.0,8937.814
CA,California,2016,282990,BROMATO DE POTASIO.(ORDEN 8),1,10.0,757.185
CA,California,2016,290110,HEXANE (ORDEN 20),1,973.0,9014.346
CA,California,2016,290110,HEXANE (ORDEN 7),1,973.0,779.723
CA,California,2016,290110,TRIMETILPENTANO (ORDEN 5),1,973.0,797.754
CA,California,2016,290313,CLOROFORMO GRADO A C S (ORDEN 1),1,1217.0,4056.4830000000006
CA,California,2016,290719,TIMOLFTALEINA.(ORDEN 19),1,1.0,548.364
CA,California,2016,290919,ETER METIL TER-BUTILICO.(ORDEN 4),1,32.0,277.171
CA,California,2016,291429,"5,5-DIMETIL-1, 3-CICLOHEXADIONA",1,1.0,186.585
CA,California,2016,292142,"N,N-DIMETILANILINA",1,9.0,602.322
CA,California,2016,293090,DITIZONA,1,1.0,748.099
CA,California,2016,293211,TETRAHIDROFURANO.(ORDEN 3),1,96.0,811.277
CA,California,2016,382200,REACTIVO DE LABORATORIO(ESTANDAR DE ALUMINIO).(ORDEN 15),1,2.0,50.711
CA,California,2016,382200,REACTIVO DE LABORATORIO(ESTANDAR DE COBRE).(ORDEN 14),1,3.0,84.518
CA,California,2016,382200,REACTIVO DE LABORATORIO(ESTANDAR DE ORO).(ORDEN 17),1,1.0,105.685
CA,California,2016,382200,REACTIVO DE LABORATORIO(ESTANDAR DE PLOMO).(ORDEN 16),1,1.0,33.807
CA,California,2016,391732,TUBO DE PLASTICO PAQUETE CON 25 PIES,1,3.0,31.666
CA,California,2016,391732,TUBO DE SILICON,1,1.0,14.498
CA,California,2016,391740,CONEXIONES DE PLASTICO,1,1.0,262.025
CA,California,2016,392330,BOTELLAS DE PLASTICO,2,7.0,89.19399999999999
CA,California,2016,392330,FRASCOS DE PLASTICO CAJA CON 10 PAQUETES,1,5.0,229.771
CA,California,2016,392690,ABRAZADERA DE PLASTICO,1,1.0,12.848
CA,California,2016,392690,CHAROLA DE PLASTICO,1,1.0,48.796
CA,California,2016,392690,EMPAQUES DE SILICON,1,1.0,59.922
CA,California,2016,392690,MANUFACTURA DE PLASTICO,1,1.0,22.485
CA,California,2016,392690,PALAS DE PLASTICO PAQUETE CON 10,1,1.0,60.824
CA,California,2016,392690,PLATOS DE PLASTICO CON ORIFICIOS CAJA CON 50,1,50.0,1528.375
CA,California,2016,392690,PORTA PIPETAS DE PLASTICO,1,12.0,224.687
CA,California,2016,392690,PUNTAS DE PLASTICO CAJA CON 10 PAQUETES,2,55.0,979.3000000000001
CA,California,2016,392690,PUNTAS DE PLASTICO CAJA CON 20 PAQUETES,2,20.0,834.8009999999999
CA,California,2016,392690,PUNTAS DE PLASTICO CAJA CON 250,1,4.0,81.355
