state_abbr,state_name,year,hs6,shipment_records,total_quantity_kg,total_value_usd
CA,California,2016,270730,1,973.0,1239.454
CA,California,2016,271012,1,973.0,5408.627
CA,California,2016,282760,1,200.0,8937.814
CA,California,2016,282990,1,10.0,757.185
CA,California,2016,290110,3,2919.0,10591.823
CA,California,2016,290313,1,1217.0,4056.4830000000006
CA,California,2016,290719,1,1.0,548.364
CA,California,2016,290919,1,32.0,277.171
CA,California,2016,291429,1,1.0,186.585
CA,California,2016,292142,1,9.0,602.322
CA,California,2016,293090,1,1.0,748.099
CA,California,2016,293211,1,96.0,811.277
CA,California,2016,382200,4,7.0,274.721
CA,California,2016,391732,2,4.0,46.164
CA,California,2016,391740,1,1.0,262.025
CA,California,2016,392330,3,12.0,318.965
CA,California,2016,392690,28,1098.0,16594.448
CA,California,2016,400911,1,1.0,22.485
CA,California,2016,401693,3,6.0,440.07199999999995
CA,California,2016,401699,1,1.0,29.961
CA,California,2016,481920,2,24.0,328.27
CA,California,2016,681293,2,10.0,1574.43
CA,California,2016,681299,1,6.0,1710.483
CA,California,2016,701090,1,1.0,170.789
CA,California,2016,701710,4,14.0,3598.5930000000003
CA,California,2016,730799,1,1.0,232.997
CA,California,2016,731940,2,10.0,462.63599999999997
CA,California,2016,732619,3,6.0,369.658
CA,California,2016,732690,3,9.0,399.65999999999997
CA,California,2016,741999,2,2.0,523.985
CA,California,2016,760720,1,2.0,294.084
CA,California,2016,761699,2,2.0,229.317
CA,California,2016,841320,1,58.0,373.209
CA,California,2016,841410,1,21.0,1521.082
CA,California,2016,841940,1,102.0,1710.299
CA,California,2016,841989,14,1271.0,80482.395
CA,California,2016,842119,3,102.0,4146.116
CA,California,2016,842121,2,98.0,255.96
CA,California,2016,842381,7,477.0,6754.47
CA,California,2016,842382,16,841.0,66528.114
CA,California,2016,842390,4,22.0,1089.5729999999999
CA,California,2016,847330,1,1.0,313.286
CA,California,2016,847989,10,540.0,28225.053
CA,California,2016,848140,4,6.0,632.947
CA,California,2016,848190,1,1.0,232.911
CA,California,2016,851430,9,529.0,29570.59
CA,California,2016,851490,1,3.0,66.993
CA,California,2016,851680,5,14.0,2509.107
CA,California,2016,853641,1,1.0,94.355
CA,California,2016,853650,2,11.0,758.375
CA,California,2016,901290,1,0.0,73.249
CA,California,2016,901580,2,72.0,1123.5610000000001
CA,California,2016,901720,1,1.0,214.357
CA,California,2016,902519,3,143.0,1050.7579999999998
CA,California,2016,902580,7,348.0,5805.6269999999995
CA,California,2016,902590,1,40.0,760.134
CA,California,2016,902610,1,102.0,504.4320000000001
CA,California,2016,902620,1,40.0,59.922
CA,California,2016,902780,21,1155.0,32244.385000000002
CA,California,2016,903180,1,36.0,117.343
CA,California,2016,903210,1,58.0,150.411
CA,California,2016,903300,6,56.0,6749.844999999999
CA,California,2016,960400,1,2.0,76.699
CT,Connecticut,2016,271019,1,203.0,1095.985
CT,Connecticut,2016,281119,1,567.0,3341.82
CT,Connecticut,2016,291412,1,32.0,404.0
FL,Florida,2016,291735,2,54000.0,42120.01
FL,Florida,2016,292910,3,60000.0,146099.994
FL,Florida,2016,390720,7,132920.0,222815.037
GA,Georgia,2016,382313,1,78700.0,69520.017
IL,Illinois,2016,382312,1,75434.0,63313.993
MD,Maryland,2016,170199,4,2.0,1978.319
MD,Maryland,2016,170240,1,0.0,391.007
MD,Maryland,2016,170250,3,5.0,407.81399999999996
MD,Maryland,2016,281000,2,5.0,142.274
MD,Maryland,2016,281122,1,5.0,223.003
MD,Maryland,2016,281810,2,10.0,310.99299999999994
MD,Maryland,2016,283522,2,1.0,1022.2850000000001
MD,Maryland,2016,283524,2,1.0,1022.2850000000001
MD,Maryland,2016,284290,1,0.0,59.301
MD,Maryland,2016,284590,3,0.0,1478.403
MD,Maryland,2016,285300,2,2.0,46.188
MD,Maryland,2016,290110,3,4933.0,5624.42
MD,Maryland,2016,290211,1,106.0,1761.423
MD,Maryland,2016,290312,2,211.0,1631.247
MD,Maryland,2016,290313,1,18.0,216.731
MD,Maryland,2016,290511,2,3085.0,21039.396999999997
MD,Maryland,2016,290512,1,70.0,571.509
MD,Maryland,2016,290543,1,0.0,193.903
MD,Maryland,2016,290950,1,0.0,199.39
MD,Maryland,2016,291260,2,4.0,113.501
MD,Maryland,2016,291411,1,53.0,272.101
MD,Maryland,2016,291531,1,18.0,105.908
MD,Maryland,2016,291734,1,1.0,42.52400000000001
MD,Maryland,2016,291739,1,0.0,466.965
MD,Maryland,2016,291815,1,1.0,20.983
MD,Maryland,2016,291829,1,0.0,1955.09
MD,Maryland,2016,291899,1,0.0,621.569
MD,Maryland,2016,292090,2,2.0,213.924
MD,Maryland,2016,292130,1,0.0,398.838
MD,Maryland,2016,292219,3,13.0,645.225
MD,Maryland,2016,292249,2,3.0,77.46300000000001
MD,Maryland,2016,292390,1,0.0,139.239
MD,Maryland,2016,292419,2,2.0,507.499
MD,Maryland,2016,292690,2,5702.0,46641.66
MD,Maryland,2016,293090,2,211.0,7310.056999999999
MD,Maryland,2016,293211,1,35.0,695.0930000000001
MD,Maryland,2016,293299,1,0.0,775.503
MD,Maryland,2016,293349,2,1.0,1235.603
MD,Maryland,2016,293359,4,0.0,409.959
MD,Maryland,2016,293623,1,0.0,195.503
MD,Maryland,2016,293628,1,0.0,598.2270000000001
MD,Maryland,2016,293721,2,0.0,623.2860000000001
MD,Maryland,2016,293722,1,0.0,193.903
MD,Maryland,2016,293790,2,0.0,792.73
MD,Maryland,2016,294190,2,0.0,775.558
MD,Maryland,2016,310420,1,1.0,889.391
MD,Maryland,2016,320416,2,0.0,124.234
MD,Maryland,2016,340213,1,0.0,33.621
MD,Maryland,2016,382100,3,139.0,12486.715999999999
MD,Maryland,2016,382200,108,40.0,93136.312
MD,Maryland,2016,390599,1,0.0,196.97499999999997
MD,Maryland,2016,392329,1,1.0,148.879
MD,Maryland,2016,392350,2,0.0,63.182
MD,Maryland,2016,392690,3,7.0,2047.326
MD,Maryland,2016,491110,1,41.0,110.838
MD,Maryland,2016,701720,10,4.0,1015.4599999999999
MD,Maryland,2016,701790,1,2.0,48.461
MD,Maryland,2016,830990,2,1.0,288.931
MD,Maryland,2016,841360,1,1237.0,2133.512
MD,Maryland,2016,842129,3,1.0,590.223
MD,Maryland,2016,842131,1,23.0,4356.011
MD,Maryland,2016,847130,1,14.0,1084.544
MD,Maryland,2016,901831,11,20.0,7603.608
MD,Maryland,2016,901832,1,0.0,21.686
MD,Maryland,2016,902610,2,7.0,889.809
MD,Maryland,2016,902720,1,1237.0,22649.021
MD,Maryland,2016,902790,11,16.0,9662.476
MD,Maryland,2016,960830,1,48.0,2.2
MO,Missouri,2016,283429,1,400.0,3115.999
NC,North Carolina,2016,382200,1,0.0,72.496
NC,North Carolina,2016,391990,1,0.0,138.705
NC,North Carolina,2016,490510,1,31.0,2184.687
NC,North Carolina,2016,741820,1,28.0,3706.083
NC,North Carolina,2016,830629,2,225.0,7133.926
NC,North Carolina,2016,842129,1,0.0,92.671
NC,North Carolina,2016,853110,1,2.0,126.568
NC,North Carolina,2016,901831,1,0.0,74.464
NC,North Carolina,2016,902610,1,2.0,243.404
NC,North Carolina,2016,902790,5,3.0,2976.3250000000003
NC,North Carolina,2016,940130,1,31.0,2259.0
NC,North Carolina,2016,940161,2,62.0,6639.109
NC,North Carolina,2016,940350,1,31.0,957.188
NC,North Carolina,2016,940360,2,225.0,16186.011
NC,North Carolina,2016,940370,1,31.0,1334.066
NC,North Carolina,2016,940510,1,194.0,725.139
NC,North Carolina,2016,950699,1,147.0,5350.783
NJ,New Jersey,2016,250700,1,5.0,650.6480000000001
NJ,New Jersey,2016,251990,1,20.0,2858.537
NJ,New Jersey,2016,270730,1,424.0,1602.796
NJ,New Jersey,2016,271012,3,4217.0,16904.31
NJ,New Jersey,2016,280300,1,45.0,787.601
NJ,New Jersey,2016,280610,1,30.0,850.312
NJ,New Jersey,2016,280920,2,342.0,1774.1490000000001
NJ,New Jersey,2016,281000,1,136.0,2298.6419999999994
NJ,New Jersey,2016,281119,2,337.0,3680.204
NJ,New Jersey,2016,282510,1,17944.0,64341.872
NJ,New Jersey,2016,282590,1,275.0,2688.03
NJ,New Jersey,2016,282619,1,50.0,2166.424
NJ,New Jersey,2016,282720,2,100.0,1459.1219999999998
NJ,New Jersey,2016,282739,7,263.0,6721.825
NJ,New Jersey,2016,282760,5,1000.0,43001.055
NJ,New Jersey,2016,282990,1,1.0,439.401
NJ,New Jersey,2016,283210,1,10.0,291.955
NJ,New Jersey,2016,283230,1,100.0,1121.664
NJ,New Jersey,2016,283321,1,50.0,693.012
NJ,New Jersey,2016,283324,1,2.0,1068.711
NJ,New Jersey,2016,283329,5,101.0,8024.162
NJ,New Jersey,2016,283429,2,8.0,887.0509999999999
NJ,New Jersey,2016,283522,2,200.0,2970.0909999999994
NJ,New Jersey,2016,283620,1,200.0,2151.263
NJ,New Jersey,2016,283640,1,25.0,397.109
NJ,New Jersey,2016,283720,1,25.0,805.031
NJ,New Jersey,2016,284150,1,11.0,1646.64
NJ,New Jersey,2016,284170,2,100.0,8979.326000000001
NJ,New Jersey,2016,284290,3,260.0,4349.5650000000005
NJ,New Jersey,2016,290110,4,4619.0,18649.459
NJ,New Jersey,2016,290313,3,3087.0,12492.215
NJ,New Jersey,2016,290512,1,4997.0,8776.045
NJ,New Jersey,2016,290519,1,13.0,716.092
NJ,New Jersey,2016,290719,1,1.0,69.117
NJ,New Jersey,2016,291540,1,100.0,1729.78
NJ,New Jersey,2016,291711,2,150.0,3352.8410000000003
NJ,New Jersey,2016,291735,1,20.0,875.092
NJ,New Jersey,2016,291812,1,50.0,1465.313
NJ,New Jersey,2016,291813,2,13.0,1265.162
NJ,New Jersey,2016,291821,1,10.0,403.6480000000001
NJ,New Jersey,2016,292121,1,0.0,182.768
NJ,New Jersey,2016,292211,1,0.0,489.733
NJ,New Jersey,2016,292242,1,3.0,88.752
NJ,New Jersey,2016,292249,1,50.0,1376.548
NJ,New Jersey,2016,292419,1,48.0,271.086
NJ,New Jersey,2016,292690,1,598.0,5128.969
NJ,New Jersey,2016,293211,1,64.0,535.517
NJ,New Jersey,2016,293329,1,5.0,744.434
NJ,New Jersey,2016,320412,3,1.0,486.076
NJ,New Jersey,2016,340399,1,4.0,163.449
NJ,New Jersey,2016,350300,1,12.0,1217.017
NJ,New Jersey,2016,382200,15,69.0,2204.3
NJ,New Jersey,2016,392350,4,101.0,2155.173
NJ,New Jersey,2016,392690,6,437.0,5219.569
NJ,New Jersey,2016,701090,3,583.0,2664.7
NJ,New Jersey,2016,731029,1,2000.0,5423.93
NJ,New Jersey,2016,732399,1,9.0,375.271
NJ,New Jersey,2016,761699,3,4.0,1044.868
NJ,New Jersey,2016,842121,1,28.0,363.3450000000001
NJ,New Jersey,2016,842139,1,30.0,807.841
NJ,New Jersey,2016,842191,1,7.0,1099.682
NJ,New Jersey,2016,842381,1,424.0,441.811
NJ,New Jersey,2016,842382,4,319.0,15451.698
NJ,New Jersey,2016,851430,1,413.0,499.197
NJ,New Jersey,2016,901290,1,7.0,166.208
NJ,New Jersey,2016,902580,1,1209.0,20.816000000000003
NJ,New Jersey,2016,902780,5,2208.0,3764.838
NY,New York,2016,281122,35,539456.0,292204.532
NY,New York,2016,291539,2,131542.0,42310.04
NY,New York,2016,720529,1,45.0,652.995
OH,Ohio,2016,220190,3,2798.0,11110.859
OH,Ohio,2016,220710,3,2798.0,6426.3640000000005
OH,Ohio,2016,271020,4,3532.0,28614.189
OH,Ohio,2016,281119,3,12694.0,99546.612
OH,Ohio,2016,281830,1,8.0,660.108
OH,Ohio,2016,282010,1,10.0,826.683
OH,Ohio,2016,282110,1,1.0,75.416
OH,Ohio,2016,282300,2,12.0,286.144
OH,Ohio,2016,282570,2,21.0,1928.491
OH,Ohio,2016,282580,1,5.0,225.27
OH,Ohio,2016,282590,1,3.0,470.877
OH,Ohio,2016,282619,1,50.0,2040.528
OH,Ohio,2016,282739,7,184.0,9878.348
OH,Ohio,2016,282760,1,20.0,477.724
OH,Ohio,2016,282990,1,1.0,304.974
OH,Ohio,2016,283340,2,54.0,1248.7
OH,Ohio,2016,283410,1,8.0,708.852
OH,Ohio,2016,283911,1,6.0,603.489
OH,Ohio,2016,284161,2,170.0,3851.939
OH,Ohio,2016,284170,5,330.0,22853.743
OH,Ohio,2016,284180,1,23.0,2004.25
OH,Ohio,2016,285210,1,1.0,596.445
OH,Ohio,2016,290110,12,11404.0,32818.315
OH,Ohio,2016,290211,1,184.0,700.797
OH,Ohio,2016,290312,3,1176.0,4202.382
OH,Ohio,2016,290313,2,633.0,2497.8230000000003
OH,Ohio,2016,290420,1,361.0,3527.316
OH,Ohio,2016,290511,3,2798.0,22682.957000000002
OH,Ohio,2016,290512,2,561.0,3889.283
OH,Ohio,2016,290621,1,238.0,1531.016
OH,Ohio,2016,290722,1,46.0,371.557
OH,Ohio,2016,290729,1,9.0,766.073
OH,Ohio,2016,290899,2,2.0,564.954
OH,Ohio,2016,291411,2,514.0,1902.113
OH,Ohio,2016,291529,1,4.0,206.271
OH,Ohio,2016,291531,2,447.0,2093.272
OH,Ohio,2016,291631,1,5.0,215.82700000000003
OH,Ohio,2016,291813,1,13.0,734.01
OH,Ohio,2016,291829,1,10.0,741.477
OH,Ohio,2016,292142,1,22.0,1879.657
OH,Ohio,2016,292690,4,8416.0,42604.871
OH,Ohio,2016,292800,1,0.0,53.547
OH,Ohio,2016,293299,1,236.0,1667.812
OH,Ohio,2016,293349,1,1.0,290.648
OH,Ohio,2016,293352,1,3.0,367.597
OH,Ohio,2016,293369,1,20.0,623.629
OH,Ohio,2016,320190,2,47.0,3158.2709999999997
OH,Ohio,2016,382200,2,638.0,13903.052
OH,Ohio,2016,382490,2,2880.0,11001.616
PA,Pennsylvania,2016,280800,1,17328.0,18901.867
PA,Pennsylvania,2016,281119,1,334.0,3104.309
PA,Pennsylvania,2016,283230,1,30.0,388.046
PA,Pennsylvania,2016,283429,1,200.0,2260.181
PA,Pennsylvania,2016,283529,1,68.0,877.482
PA,Pennsylvania,2016,283699,1,0.0,577.011
PA,Pennsylvania,2016,285000,3,500.0,24549.674
PA,Pennsylvania,2016,293090,1,26.0,813.55
PA,Pennsylvania,2016,350510,1,10.0,950.432
PA,Pennsylvania,2016,382200,1,2.0,754.1259999999999
PA,Pennsylvania,2016,392350,3,875.0,35555.774
PA,Pennsylvania,2016,392390,1,36.0,4.312
PA,Pennsylvania,2016,482370,1,998.0,3118.762
PA,Pennsylvania,2016,701090,2,1499.0,5255.459
PA,Pennsylvania,2016,741999,1,0.0,40.63700000000001
PA,Pennsylvania,2016,842129,1,0.0,213.648
PA,Pennsylvania,2016,902580,1,53.0,976.965
PA,Pennsylvania,2016,902780,1,53.0,329.085
PA,Pennsylvania,2016,902790,1,0.0,821.584
SC,South Carolina,2016,282739,2,268.0,2407.797
TN,Tennessee,2016,291539,1,65771.0,21155.014
TN,Tennessee,2016,291550,2,162909.0,190806.587
TN,Tennessee,2016,291560,1,6922.0,18580.472
TN,Tennessee,2016,291712,1,12673.0,18533.063
TN,Tennessee,2016,381220,1,14606.0,33653.026
TX,Texas,2016,220710,7,594747.0,537965.537
TX,Texas,2016,271012,19,1225483.0,937962.856
TX,Texas,2016,280610,12,183302.0,136616.086
TX,Texas,2016,280800,4,94924.0,64822.39
TX,Texas,2016,281119,1,334.0,3009.813
TX,Texas,2016,282619,1,50.0,2308.187
TX,Texas,2016,282731,1,100.0,1244.149
TX,Texas,2016,282739,1,0.0,925.059
TX,Texas,2016,282759,1,0.0,674.27
TX,Texas,2016,282760,1,100.0,4393.861
TX,Texas,2016,283429,4,414.0,3947.026
TX,Texas,2016,283529,1,68.0,979.691
TX,Texas,2016,283699,1,1.0,72.398
TX,Texas,2016,290110,1,764.0,4890.674
TX,Texas,2016,290250,2,40896.0,51748.937999999995
TX,Texas,2016,290323,3,59400.0,46353.104999999996
TX,Texas,2016,290513,1,7185.0,7285.567
TX,Texas,2016,290519,1,21580.0,43160.019
