state_abbr,state_name,year,chemical_name,shipment_records,total_quantity_kg,total_value_usd,avg_match_score,max_match_score
NJ,New Jersey,2017,"2-PROPENOIC ACID, METHYL ESTER",1,14340.0,187575.804,0.9166666666666666,0.9166666666666666
TX,Texas,2017,"2-PROPENOIC ACID, METHYL ESTER",4,400000.0,310232.21484375,0.9230769230769231,0.9230769230769231
TX,Texas,2018,"2-PROPENOIC ACID, ETHYL ESTER",2,47200.0,0.0,0.9,0.9
TX,Texas,2018,"2-PROPENOIC ACID, METHYL ESTER",20,1923550.0,1270528.78515625,0.9230769230769231,0.9230769230769231
TX,Texas,2018,ANILINE(A),5,500000.0,460168.0078125,0.8911111111111112,0.9
TX,Texas,2019,"2-PROPENOIC ACID, ETHYL ESTER",2,200000.0,78051.984375,0.9090909090909091,0.9090909090909091
TX,Texas,2019,"2-PROPENOIC ACID, METHYL ESTER",24,2400000.0,1306336.375,0.923076923076923,0.9230769230769231
TX,Texas,2019,ANILINE(A),4,400000.0,218675.2578125,0.8944444444444444,0.9
TX,Texas,2020,"2-PROPENOIC ACID, ETHYL ESTER",3,300000.0,0.0,0.9090909090909091,0.9090909090909091
TX,Texas,2020,"2-PROPENOIC ACID, METHYL ESTER",13,1300000.0,925073.0,0.9230769230769231,0.9230769230769231
TX,Texas,2021,"2-PROPENOIC ACID, METHYL ESTER",13,1300000.0,1412757.03125,0.9230769230769231,0.9230769230769231
TX,Texas,2022,"2-PROPENOIC ACID, ETHYL ESTER",1,100000.0,139199.28125,0.9090909090909091,0.9090909090909091
TX,Texas,2022,"2-PROPENOIC ACID, METHYL ESTER",38,3800000.0,3349549.3203125,0.9230769230769231,0.9230769230769231
TX,Texas,2023,"2-PROPENOIC ACID, METHYL ESTER",4,400000.0,525180.4140625,0.9230769230769231,0.9230769230769231
NY,New York,2024,"2-PROPENOIC ACID, METHYL ESTER",2,38268.0,450235.18901779095,0.8983333333333333,0.9166666666666666
IL,Illinois,2025,"2-PROPENOIC ACID, ETHYL ESTER",1,212.0,3588.6399058696,1.0,1.0
NC,North Carolina,2025,ANILINE(A),1,11440.0,80567.35177098501,0.9473684210526315,0.9473684210526315
NC,North Carolina,2026,ANILINE(A),1,11440.0,0.0,0.9473684210526315,0.9473684210526315
