state_abbr,state_name,year,hs6,goods_description,shipment_records,total_quantity_kg,total_value_usd
CA,California,2016,290312,"METHYLENE CHLORIDE UN:1593 C LASS:6.1 PO NO.:6810 FREIG HT PREPAID THERE'S SOLID WOO D PACKING MATERIALS WERE USE D,BUT WERE PROPERLY FUMIGATE D -ADAM@TRANSCHEMINC.COM - -EMAIL:VIVI@NUCOLOGISTICS.COM",1,19940.0,0.0
CA,California,2016,291412,METHYL ETHYL KETONE PO NO .:7229 CLASS:3 UN:119 3 N/M,1,14720.0,26841.92
CA,California,2016,291412,METHYL ETHYL KETONE UN:1193 CLASS:3 PO NO .:6920 FREI GHT PREPAID -EMAIL:VIVI@NUCO LOGISTICS.COM,1,14720.0,26841.92
CA,California,2016,291412,METHYL ETHYL KETONE UN:1193 CLASS:3 PO NO .:6920 FREIGHT PREPAID,1,100000.0,21859.107421875
CA,California,2016,293299,N-ACETYL-D-GLUCOSAMINE,1,1120.0,19312.72
CA,California,2016,847910,THEOBROMINE,1,1120.0,6473.488
CA,California,2016,850300,GLYCINE SORBITOL L-LEUCINE D-+CALCIUM PANTOTHENATE PTASSIUM SORBATE METHYL PARABEN,1,1130.0,9278.769
CA,California,2016,950590,GLYCINE SORBITOL L-LEUCINE POTASSIUM SORBATE METHYL PARABEN,1,860.0,5295.708
CO,Colorado,2016,281520,COPPER HYDROXIDE,1,4070.0,3932.841
CO,Colorado,2016,291550,LINCOMYCIN HCL,1,8250.0,19895.7
FL,Florida,2016,282720,CALCIUM CHLORIDE THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIALS,1,21080.0,53108.952
FL,Florida,2016,290919,TERT-BUTYL ACETATEUN1123 IMO3 PGII,4,79772.0,259372.1552
FL,Florida,2016,292529,CHLORHEXIDINE GLUCONATE 20 PERCENT BP,1,12240.0,92066.832
FL,Florida,2016,293211,"TETRAHYDROFURAN UN:2056 CLASS:3 UN2056,TETRAHYDROFURAN,3,PG II CHEMTREC EMERGENCY RESPONSE NUMBER AS FOLLOWING: 800-424-9300(IN USA) 703-527-3887(OUTSIDE USA) ALLCHEM INDUSTRIES INDUSTRIAL CHEMICALS GROUP INC - CUST # 896",1,100000.0,0.0
FL,Florida,2016,293319,PHENYLBUTAZONE CLASS6.1 UN2811 PGIII FOR V ODE2933199090,1,570.0,49584.471
FL,Florida,2016,293369,CHEMICAL GOODS(NON-HAZ)(CYANURIC ACID)THIS SHIPMENT CONTAINS NO WOOD PACKAGING MATERIALS,3,55680.0,66337.152
FL,Florida,2016,293369,CYANURIC ACID (1202PACKAGES=44PALLETS) CARRIE E TO LIQUID CARGO,2,39520.0,47084.128
FL,Florida,2016,293369,CYANURIC ACID (536PACKAGES=20PALLETS) CARRIER TO LIQUID CARGO,1,18480.0,23375.352
FL,Florida,2016,UNKNOWN,TETRAHYDROFURAN(THF) CLASS: 3 UN: 2056 PO NO.:GC 106056 GESU8096240-161149-161150,2,200000.0,0.0
GA,Georgia,2016,290399,BENZYL CHLORIDE,3,57090.0,245115.91499999998
GA,Georgia,2016,290399,BENZYL CHLORIDE 18 NOS. OF IBC EACH OF 1000 K GS. NET . WT. TOTAL NET. WT.: 1800 0.00 KGS. TOTAL GROSS WT.: 19026.00 KGS. HS CODE: 29 03 99 40 SHIPPING BILL NO. : 1088408 DATE: 16/0 9/2016,1,19030.0,81705.305
GA,Georgia,2016,290399,BENZYL CHLORIDE 18 NOS. OF IBC EACH OF 1000 K GS. NET . WT. TOTAL NET. WT.: 1800 0.00 KGS. TOTAL GROSS WT.: 19062.00 KGS. HS CODE: 29 03 9940 SHIPPING BILL NO.: 8595479 DATE: 30/06/2 016,1,19060.0,81834.11
