state_abbr,state_name,year,hs6,shipment_records,total_quantity_kg,total_value_usd
CA,California,2016,290312,1,19940.0,0.0
CA,California,2016,291412,3,129440.0,75542.947421875
CA,California,2016,293299,1,1120.0,19312.72
CA,California,2016,847910,1,1120.0,6473.488
CA,California,2016,850300,1,1130.0,9278.769
CA,California,2016,950590,1,860.0,5295.708
CO,Colorado,2016,281520,1,4070.0,3932.841
CO,Colorado,2016,291550,1,8250.0,19895.7
FL,Florida,2016,282720,1,21080.0,53108.952
FL,Florida,2016,290919,4,79772.0,259372.1552
FL,Florida,2016,292529,1,12240.0,92066.832
FL,Florida,2016,293211,1,100000.0,0.0
FL,Florida,2016,293319,1,570.0,49584.471
FL,Florida,2016,293369,6,113680.0,136796.63199999998
GA,Georgia,2016,290399,5,95180.0,408655.32999999996
GA,Georgia,2016,382499,1,1160.0,11999.62
MA,Massachusetts,2016,847910,1,5840.0,38293.464
MO,Missouri,2016,290244,1,100000.0,18065.66796875
MO,Missouri,2016,290715,1,18360.0,45444.672
MO,Missouri,2016,290719,1,100000.0,17528.734375
NC,North Carolina,2016,291639,30,601800.0,2352556.56
NJ,New Jersey,2016,120110,1,19880.0,55707.736
NJ,New Jersey,2016,290621,3,15810.0,41159.754
NJ,New Jersey,2016,291531,9,178940.0,444576.43
NJ,New Jersey,2016,291620,2,34960.0,1298666.112
NJ,New Jersey,2016,292090,1,23640.0,32348.976
NJ,New Jersey,2016,293214,1,5600.0,220395.28
NJ,New Jersey,2016,293299,2,12600.0,217268.1
NJ,New Jersey,2016,382490,2,34960.0,0.0
NJ,New Jersey,2016,620193,1,480.0,7162.704
NJ,New Jersey,2016,870899,1,7130.0,20081.645
NJ,New Jersey,2016,902290,2,39560.0,1119180.0920000002
NJ,New Jersey,2016,950590,2,6200.0,38573.920000000006
OH,Ohio,2016,290621,1,19980.0,44119.836
OH,Ohio,2016,290949,3,51500.0,3030311.5
OH,Ohio,2016,291533,1,19940.0,30332.728
OH,Ohio,2016,610429,2,40000.0,1075528.0
OH,Ohio,2016,611610,1,10455.0,142296.732
OH,Ohio,2016,621600,1,10455.0,38224.5255
PA,Pennsylvania,2016,282739,1,1140.0,24071.442000000003
PA,Pennsylvania,2016,293139,2,41860.0,146522.558
SC,South Carolina,2016,290290,1,7090.0,22889.356
SC,South Carolina,2016,290311,1,520.0,867.256
SC,South Carolina,2016,291550,1,1770.0,7795.965
SC,South Carolina,2016,291634,1,6050.0,67355.255
SC,South Carolina,2016,292090,1,1090.0,2454.4620000000004
SC,South Carolina,2016,292143,1,7730.0,23738.83
TX,Texas,2016,150420,1,100000.0,0.0
TX,Texas,2016,151530,30,3000000.0,6194920.65625
TX,Texas,2016,151620,1,100000.0,257201.515625
TX,Texas,2016,152200,20,2000000.0,3562418.546875
TX,Texas,2016,220830,2,200000.0,123590.8046875
TX,Texas,2016,220870,2,200000.0,61795.40234375
TX,Texas,2016,282570,1,10.0,99.992
TX,Texas,2016,282590,3,403.0,54311.85799999999
TX,Texas,2016,282619,1,1021.0,14720.42
TX,Texas,2016,282710,1,929.0,2138.096
TX,Texas,2016,282731,5,26350.0,55477.396
TX,Texas,2016,282739,7,953.0,9591.123
TX,Texas,2016,282759,1,50.0,1087.489
TX,Texas,2016,283090,3,2933.0,16421.565
TX,Texas,2016,283230,3,5442.0,28710.009
TX,Texas,2016,283311,12,123602.0,228222.72
TX,Texas,2016,283322,3,2600.0,13398.017
TX,Texas,2016,283329,3,9000.0,34194.229
TX,Texas,2016,283421,18,806900.0,779987.3100625
TX,Texas,2016,283429,1,1.0,2.026
TX,Texas,2016,284170,1,100.0,4000.011
TX,Texas,2016,290290,1,20000.0,32690.0
TX,Texas,2016,290391,12,1200000.0,1123443.546875
TX,Texas,2016,290545,1,100000.0,92116.5859375
TX,Texas,2016,290621,66,6600000.0,5347779.234375
TX,Texas,2016,290719,3,300000.0,187514.203125
TX,Texas,2016,291221,5,500000.0,277937.609375
TX,Texas,2016,291419,4,400000.0,290843.546875
TX,Texas,2016,291429,1,100000.0,92116.5859375
TX,Texas,2016,291524,3,300000.0,276349.7578125
TX,Texas,2016,291529,24,66732.0,199804.638
TX,Texas,2016,291531,3,300000.0,195031.90625
TX,Texas,2016,291539,9,900000.0,540820.34375
TX,Texas,2016,291570,5,500000.0,429967.46875
TX,Texas,2016,291590,3,300000.0,256950.1875
TX,Texas,2016,291619,3,300000.0,258508.2578125
TX,Texas,2016,291631,3,300000.0,178106.5859375
TX,Texas,2016,291712,1,100000.0,0.0
TX,Texas,2016,291719,1,100000.0,22562.431640625
TX,Texas,2016,291720,2,110000.0,105728.236328125
TX,Texas,2016,291733,1,100000.0,86331.46875
TX,Texas,2016,291734,43,4300000.0,3307535.5234375
TX,Texas,2016,291739,1,100000.0,84340.3359375
TX,Texas,2016,291823,3,300000.0,84340.3359375
TX,Texas,2016,292090,5,500000.0,344250.6171875
TX,Texas,2016,292119,1,100000.0,86417.1484375
TX,Texas,2016,292129,2,200000.0,160667.7109375
TX,Texas,2016,292151,1,100000.0,91844.2265625
TX,Texas,2016,292320,7,700000.0,337361.34375
TX,Texas,2016,292419,1,100000.0,84340.3359375
TX,Texas,2016,293090,1,100000.0,84340.3359375
TX,Texas,2016,293211,1,5660.0,12914.422
