state,fentanyl_specific_law_count,fentanyl_specific_law_count_possession,fentanyl_specific_law_count_distribution_delivery,fentanyl_specific_law_count_exposing_others,fentanyl_specific_law_count_other,fentanyl_specific_law_count_sum_by_type
Alabama,6,1,4,1,0,6
Alaska,0,0,0,0,0,0
Arizona,1,0,1,0,0,1
Arkansas,9,2,5,1,3,11
California,5,2,0,0,3,5
Colorado,8,3,3,0,2,8
Connecticut,0,0,0,0,0,0
Delaware,0,0,0,0,0,0
Florida,5,0,3,1,1,5
Georgia,1,0,1,0,0,1
Hawaii,0,0,0,0,0,0
Idaho,1,0,1,0,0,1
Illinois,2,1,1,0,0,2
Indiana,1,0,1,0,0,1
Iowa,1,0,1,0,0,1
Kansas,4,0,3,0,1,4
Kentucky,7,0,6,0,1,7
Louisiana,4,1,3,0,0,4
Maine,4,1,3,0,0,4
Maryland,3,1,2,0,0,3
Massachusetts,1,0,1,0,0,1
Michigan,0,0,0,0,0,0
Minnesota,3,2,1,0,0,3
Mississippi,1,0,1,0,0,1
Missouri,2,0,2,0,0,2
Montana,2,1,1,0,0,2
Nebraska,0,0,0,0,0,0
Nevada,2,2,0,0,0,2
New Hampshire,1,0,1,0,0,1
New Jersey,0,0,0,0,0,0
New Mexico,0,0,0,0,0,0
New York,0,0,0,0,0,0
North Carolina,2,1,1,0,0,2
North Dakota,0,0,0,0,0,0
Ohio,5,0,5,0,0,5
Oklahoma,4,0,4,0,0,4
Oregon,4,0,4,0,0,4
Pennsylvania,0,0,0,0,0,0
Rhode Island,2,0,2,0,0,2
South Carolina,2,1,1,0,0,2
South Dakota,1,0,1,0,0,1
Tennessee,2,0,2,0,0,2
Texas,0,0,0,0,0,0
Utah,0,0,0,0,0,0
Vermont,1,0,1,0,0,1
Virginia,3,3,0,0,0,3
Washington,0,0,0,0,0,0
West Virginia,2,0,2,0,0,2
Wisconsin,2,1,1,0,0,2
Wyoming,1,0,0,1,0,1
