state_abbr,state_name,census_subregion,census_region,population_latest_year,population_latest,od_synth_latest_date,od_synth_latest_year,od_synth_latest_month_count,od_synth_latest_month_per100k,od_synth_latest_12mo_count,od_synth_latest_12mo_per100k,od_all_latest_date,od_all_latest_year,od_all_latest_month_count,od_all_latest_month_per100k,od_all_latest_12mo_count,od_all_latest_12mo_per100k,fentanyl_laws_total,fentanyl_laws_possession,fentanyl_laws_distribution_delivery,fentanyl_laws_exposing_others,fentanyl_laws_other,fentanyl_laws_sum_by_type,nflis_latest_year,nflis_reports_latest_year,nflis_reports_all_years,nflis_reports_annual_average,nflis_unique_substances_latest_year,nflis_unique_bases_latest_year,cnx_recv_latest_year,cnx_recv_shipments_latest_year,cnx_recv_quantity_kg_latest_year,cnx_recv_value_usd_latest_year,cnx_recv_unique_hs6_latest_year,cnx_recv_shipments_all_years,cnx_recv_quantity_kg_all_years,cnx_recv_value_usd_all_years,cnx_recv_unique_hs6_all_years,cnx_recv_chem_latest_year,cnx_recv_chem_shipments_latest_year,cnx_recv_chem_quantity_kg_latest_year,cnx_recv_chem_value_usd_latest_year,cnx_recv_chem_unique_chemicals_latest_year,cnx_recv_chem_shipments_all_years,cnx_recv_chem_quantity_kg_all_years,cnx_recv_chem_value_usd_all_years,cnx_recv_chem_unique_chemicals_all_years,cnx_send_latest_year,cnx_send_shipments_latest_year,cnx_send_quantity_kg_latest_year,cnx_send_value_usd_latest_year,cnx_send_unique_hs6_latest_year,cnx_send_shipments_all_years,cnx_send_quantity_kg_all_years,cnx_send_value_usd_all_years,cnx_send_unique_hs6_all_years,cnx_send_chem_latest_year,cnx_send_chem_shipments_latest_year,cnx_send_chem_quantity_kg_latest_year,cnx_send_chem_value_usd_latest_year,cnx_send_chem_unique_chemicals_latest_year,cnx_send_chem_shipments_all_years,cnx_send_chem_quantity_kg_all_years,cnx_send_chem_value_usd_all_years,cnx_send_chem_unique_chemicals_all_years
AK,Alaska,Pacific,West,2025,740133,2025-09-01,2025,12.083333,1.632589,217,29.319055,2025-09-01,2025,17,2.296884,241,32.561715,0,0,0,0,0,0,2025,432,2446,271.777778,6,3,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0
AL,Alabama,East South Central,South,2025,5157699,2025-09-01,2025,27.916667,0.541262,484,9.38403,2025-09-01,2025,32.666667,0.633357,557,10.799389,6,1,4,1,0,6,2025,312,8942,993.555556,7,6,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,29,2500129,454221.078625,4,2023,0,0,0,0,0,0,0,0
AR,Arkansas,West South Central,South,2025,3088354,2025-09-01,2025,15.333333,0.496489,117,3.788426,2025-09-01,2025,21.916667,0.709655,152,4.921716,9,2,5,1,3,11,2025,593,6946,771.777778,9,7,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0
AZ,Arizona,Mountain,West,2025,7582384,2025-09-01,2025,126.916667,1.673836,1953,25.757071,2025-09-01,2025,157,2.070589,2176,28.698098,1,0,1,0,0,1,2025,8623,85845,9538.333333,12,9,2026,0,0,0,0,10,1734,10176.996164,5,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0
CA,California,Pacific,West,2025,39431263,2025-09-01,2025,299.916667,0.760606,4667,11.835786,2025-09-01,2025,362,0.918053,5336,13.53241,5,2,0,0,3,5,2025,12275,79494,8832.666667,29,24,2026,8,9770,0,5,442,9916709,10567476.041774,89,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,442,12319985,3834579.961203,118,2023,0,0,0,0,0,0,0,0
CO,Colorado,Mountain,West,2025,5957494,2025-08-01,2025,71.833333,1.205764,957,16.063801,2025-08-01,2025,92.333333,1.549869,1135,19.051635,8,3,3,0,2,8,2025,1699,12790,1421.111111,9,7,2026,0,0,0,0,7,63549,122068.381502,5,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,27,4780,36909.507,23,2023,0,0,0,0,0,0,0,0
CT,Connecticut,New England,Northeast,2025,3675069,2025-09-01,2025,44.833333,1.219932,620,16.870432,2025-09-01,2025,47.166667,1.283423,718,19.537048,0,0,0,0,0,0,2025,835,7207,800.777778,13,10,2026,0,0,0,0,13,150257,451048.742636,7,2026,0,0,0,0,0,0,0,0,2026,1,0,0,1,345,84883,260890.283953,48,2023,0,0,0,0,0,0,0,0
DE,Delaware,South Atlantic,South,2025,1051917,2025-09-01,2025,7,0.665452,246,23.385876,2025-09-01,2025,10.083333,0.958567,270,25.667424,0,0,0,0,0,0,2025,56,796,88.444444,4,4,2026,0,0,0,0,11,95967,787230.818729,8,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,2,90.7,4108.848,2,2023,0,0,0,0,0,0,0,0
FL,Florida,South Atlantic,South,2025,23372215,2024-09-01,2024,148.25,0.6343,3592,15.368676,2024-09-01,2024,176.75,0.75624,4017,17.187074,5,0,3,1,1,5,2025,7503,62617,6957.444444,17,13,2026,0,0,0,0,65,1332512,2111073.714953,25,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,162,1740179,4681327.463,54,2023,0,0,0,0,0,0,0,0
GA,Georgia,South Atlantic,South,2025,11180878,2025-09-01,2025,63.416667,0.567189,784,7.011972,2025-09-01,2025,80.333333,0.718489,954,8.532425,1,0,1,0,0,1,2025,860,8788,976.444444,8,6,2026,0,0,0,0,72,1019597,4217347.841609,18,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,94,4033682,2330668.348562,23,2023,0,0,0,0,0,0,0,0
HI,Hawaii,Pacific,West,2025,1446146,2017-05-01,2017,1.916667,0.134264,12,0.840608,2025-05-01,2025,9.833333,0.679968,115,7.952171,0,0,0,0,0,0,2025,54,575,63.888889,3,3,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0
IA,Iowa,West North Central,Midwest,2025,3241488,2025-09-01,2025,1.666667,0.051417,100,3.085003,2025-09-01,2025,0.666667,0.020567,148,4.565804,1,0,1,0,0,1,2025,822,7049,783.222222,9,7,2026,0,0,0,0,33,298368,1898860.833617,3,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0
ID,Idaho,Mountain,West,2025,2001619,2025-09-01,2025,4.5,0.224818,116,5.795309,2025-09-01,2025,10.833333,0.541229,180,8.99272,1,0,1,0,0,1,2025,921,8692,965.777778,6,5,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,3,0,15,3,2023,0,0,0,0,0,0,0,0
IL,Illinois,East North Central,Midwest,2025,12710158,2025-09-01,2025,59.083333,0.464851,1175,9.244574,2025-09-01,2025,79.25,0.623517,1375,10.818119,2,1,1,0,0,2,2025,4786,45303,5033.666667,13,10,2026,0,0,0,0,29,453455,3022459.732812,18,2026,0,0,0,0,1,212,3588.639906,1,2026,0,0,0,0,79,956675.700576,765670.978105,47,2023,0,0,0,0,0,0,0,0
IN,Indiana,East North Central,Midwest,2025,6924275,2025-09-01,2025,46.666667,0.673957,795,11.481346,2025-09-01,2025,61.666667,0.890587,912,13.171054,1,0,1,0,0,1,2025,2550,23036,2559.555556,17,13,2026,0,0,0,0,1,18140,72625.304,1,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,4,3001,25373.963,4,2023,0,0,0,0,0,0,0,0
KS,Kansas,West North Central,Midwest,2025,2970606,2025-09-01,2025,15.666667,0.52739,254,8.550444,2025-09-01,2025,19.25,0.648016,312,10.502907,4,0,3,0,1,4,2025,745,11735,1303.888889,11,9,2026,0,0,0,0,17,200420,611757.991001,7,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,5,1422,26943.975,4,2023,0,0,0,0,0,0,0,0
KY,Kentucky,East South Central,South,2025,4588372,2025-09-01,2025,33.916667,0.739187,639,13.926508,2025-09-01,2025,42.416667,0.924438,808,17.609732,7,0,6,0,1,7,2025,274,35072,3896.888889,5,5,2026,0,0,0,0,36,166494,926287.800753,16,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,1,0,2640.02,1,2023,0,0,0,0,0,0,0,0
LA,Louisiana,West South Central,South,2025,4597740,,,,,,,,,,,,,4,1,3,0,0,4,2025,2613,20281,2253.444444,13,11,2026,0,0,0,0,10,312126,328656.634848,6,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,3,100000,24816.4,3,2023,0,0,0,0,0,0,0,0
MA,Massachusetts,New England,Northeast,2025,7136171,2025-09-01,2025,51.75,0.725179,913,12.793976,2025-09-01,2025,53.083333,0.743863,1016,14.237327,1,0,1,0,0,1,2025,5622,73626,8180.666667,15,12,2026,0,0,0,0,36,76735.453592,632427.633486,20,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,3,0,0,3,2023,0,0,0,0,0,0,0,0
MD,Maryland,South Atlantic,South,2025,6263220,2025-09-01,2025,64.083333,1.023169,961,15.343545,2025-09-01,2025,75.166667,1.200128,1102,17.594784,3,1,2,0,0,3,2025,2262,40847,4538.555556,13,10,2026,0,0,0,0,16,207517,979618.100203,7,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,265,2117343,506190.083605,71,2023,0,0,0,0,0,0,0,0
ME,Maine,New England,Northeast,2025,1405012,2025-09-01,2025,13.166667,0.937121,248,17.651095,2025-09-01,2025,7.583333,0.539734,286,20.355698,4,1,3,0,0,4,2025,104,3683,409.222222,6,6,2026,0,0,0,0,2,0,101331.554,1,2026,0,0,0,0,0,0,0,0,2026,4,0,0,1,4,0,0,1,2023,0,0,0,0,0,0,0,0
MI,Michigan,East North Central,Midwest,2025,10140459,2025-06-01,2025,72.916667,0.719067,914,9.013399,2025-06-01,2025,86.416667,0.852197,1082,10.670128,0,0,0,0,0,0,2025,512,10312,1145.777778,9,6,2026,0,0,0,0,25,227507,14388470.668468,10,2026,0,0,0,0,0,0,0,0,2026,5,0,0,2,79,1020083.460928,481208.568024,13,2023,0,0,0,0,0,0,0,0
MN,Minnesota,West North Central,Midwest,2025,5793151,2025-09-01,2025,34.333333,0.592654,570,9.839205,2025-09-01,2025,45.333333,0.782533,660,11.392764,3,2,1,0,0,3,2025,1549,15964,1773.777778,13,10,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,50,54,54604.014,5,2023,0,0,0,0,0,0,0,0
MO,Missouri,West North Central,Midwest,2025,6245466,2025-09-01,2025,36.416667,0.58309,674,10.791829,2025-09-01,2025,41.083333,0.657811,757,12.120793,2,0,2,0,0,2,2025,4105,41062,4562.444444,12,10,2026,0,0,0,0,82,512241,739746.537315,42,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,4,400,36211.579,3,2023,0,0,0,0,0,0,0,0
MS,Mississippi,East South Central,South,2025,2943045,2025-09-01,2025,9.833333,0.334121,213,7.237402,2025-09-01,2025,17.25,0.586128,258,8.766431,1,0,1,0,0,1,2025,154,5404,600.444444,6,5,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0
MT,Montana,Mountain,West,2025,1137233,2025-09-01,2025,3.5,0.307765,87,7.650147,2025-09-01,2025,3.083333,0.271126,115,10.112264,2,1,1,0,0,2,2025,1164,7018,779.777778,15,12,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0
NC,North Carolina,South Atlantic,South,2025,11046024,2023-09-01,2023,169.083333,1.560458,3188,29.421832,2023-09-01,2023,184.583333,1.703507,3391,31.295305,2,1,1,0,0,2,2025,6381,43731,4859,16,12,2026,1,11440,0,1,211,2213337,6555756.232136,22,2026,1,11440,0,1,2,22880,80567.351771,1,2026,0,0,0,0,112,2409960,1606154.726359,31,2023,0,0,0,0,0,0,0,0
ND,North Dakota,West North Central,Midwest,2025,796568,2025-03-01,2025,11.916667,1.496001,41,5.147081,2025-03-01,2025,17.833333,2.238771,70,8.787699,0,0,0,0,0,0,2025,166,4691,521.222222,5,3,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0
NE,Nebraska,West North Central,Midwest,2025,2005466,2022-02-01,2022,13.666667,0.694472,100,5.0815,2022-02-01,2022,10.666667,0.542027,117,5.945355,0,0,0,0,0,0,2025,124,2167,240.777778,4,3,2026,0,0,0,0,1,1120,137329.92,1,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0
NH,New Hampshire,New England,Northeast,2025,1409032,2025-09-01,2025,0,0,178,12.632786,2025-09-01,2025,0,0,199,14.123171,1,0,1,0,0,1,2025,1101,17210,1912.222222,9,7,2026,0,0,0,0,1,1090,0,1,2026,0,0,0,0,0,0,0,0,2026,0,0,0,0,5,1400000,191964.621094,1,2023,0,0,0,0,0,0,0,0
NJ,New Jersey,Middle Atlantic,Northeast,2025,9500851,2025-09-01,2025,58.416667,0.614857,1111,11.693689,2025-09-01,2025,71.666667,0.754318,1234,12.98831,0,0,0,0,0,0,2025,7004,117780,13086.666667,28,25,2026,1,19890,0,1,553,7942301.5,30675783.520829,79,2026,0,0,0,0,1,14340,187575.804,1,2026,5,300000,215111.15625,2,423,1188918.422128,2229292.524406,145,2023,0,0,0,0,0,0,0,0
