state_abbr,state_name,variable,date,year,month_num,month_abbr,count,count_est_float,rolling_12mo_count,source_value_type,period,percent_complete,percent_pending_investigation,count_is_estimated,estimation_method
CT,Connecticut,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,43,42.83333333333333,96.0,data_value,12 month-ending,100,0.0099268720426193,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
DC,District of Columbia,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,4,4.333333333333334,15.0,data_value,12 month-ending,100,0.107353730542136,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
GA,Georgia,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,24,24.416666666666668,,missing,12 month-ending,100,0.087530732297553,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
IA,Iowa,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,5,4.666666666666666,30.0,data_value,12 month-ending,100,0.0137094286595606,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
IL,Illinois,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,23,23.083333333333332,,missing,12 month-ending,100,0.0252294913346401,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
MA,Massachusetts,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,80,79.75,,missing,12 month-ending,100,1.29899726526892,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
MD,Maryland,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,22,22.08333333333333,237.0,data_value,12 month-ending,100,0.0085851648351648,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
ME,Maine,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,6,6.166666666666666,59.0,data_value,12 month-ending,100,0.0587069787921039,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
NC,North Carolina,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,29,29.08333333333333,209.0,data_value,12 month-ending,100,0.344305192122297,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
NH,New Hampshire,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,9,8.75,171.0,data_value,12 month-ending,100,0.0440839358137895,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
NM,New Mexico,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,7,7.416666666666666,67.0,data_value,12 month-ending,100,0.0410533106562665,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
NV,Nevada,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,5,5.0,31.0,data_value,12 month-ending,100,0.0044210619390777,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
NY,New York,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,61,61.33333333333334,248.0,data_value,12 month-ending,100,0.278684278684279,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
OH,Ohio,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,104,103.66666666666667,,missing,12 month-ending,100,0.006037866045629,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
OK,Oklahoma,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,3,2.666666666666668,72.0,data_value,12 month-ending,100,0.0211707420345083,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
OR,Oregon,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,5,4.75,32.0,data_value,12 month-ending,100,0.0232477042892014,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
RI,Rhode Island,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,3,3.0,90.0,data_value,12 month-ending,100,0.0692315300168134,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
SC,South Carolina,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,0,0.0,110.0,data_value,12 month-ending,100,0.0267343937976206,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
TN,Tennessee,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,21,20.666666666666668,,missing,12 month-ending,100,0.164377982078436,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
UT,Utah,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,20,20.25,68.0,data_value,12 month-ending,100,0.34098133271687,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
VA,Virginia,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,14,13.75,182.0,data_value,12 month-ending,100,0.037846532311477,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
VT,Vermont,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,3,2.75,20.0,data_value,12 month-ending,100,0.0,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
WA,Washington,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,0,0.41666666666666696,67.0,data_value,12 month-ending,100,0.0076209347076418,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
WV,West Virginia,"Synthetic opioids, excl. methadone (T40.4)",2015-01-01,2015,1,JAN,14,13.666666666666668,128.0,data_value,12 month-ending,100,0.156451316031658,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
CT,Connecticut,"Synthetic opioids, excl. methadone (T40.4)",2015-02-01,2015,2,FEB,30,29.83333333333333,97.0,data_value,12 month-ending,100,0.009885004448252,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
DC,District of Columbia,"Synthetic opioids, excl. methadone (T40.4)",2015-02-01,2015,2,FEB,0,0.0,17.0,data_value,12 month-ending,100,0.106534090909091,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
GA,Georgia,"Synthetic opioids, excl. methadone (T40.4)",2015-02-01,2015,2,FEB,24,24.416666666666668,,missing,12 month-ending,100,0.0933324809819088,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
IA,Iowa,"Synthetic opioids, excl. methadone (T40.4)",2015-02-01,2015,2,FEB,0,0.0,32.0,data_value,12 month-ending,100,0.0136972228880594,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
IL,Illinois,"Synthetic opioids, excl. methadone (T40.4)",2015-02-01,2015,2,FEB,23,23.083333333333332,,missing,12 month-ending,100,0.0252001473239382,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
MA,Massachusetts,"Synthetic opioids, excl. methadone (T40.4)",2015-02-01,2015,2,FEB,80,79.75,,missing,12 month-ending,100,1.33677786254248,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
MD,Maryland,"Synthetic opioids, excl. methadone (T40.4)",2015-02-01,2015,2,FEB,62,62.08333333333333,259.0,data_value,12 month-ending,100,0.0085534053244948,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
ME,Maine,"Synthetic opioids, excl. methadone (T40.4)",2015-02-01,2015,2,FEB,6,6.166666666666666,63.0,data_value,12 month-ending,100,0.0433369447453954,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
NC,North Carolina,"Synthetic opioids, excl. methadone (T40.4)",2015-02-01,2015,2,FEB,42,42.08333333333333,228.0,data_value,12 month-ending,100,0.356557003554178,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
NH,New Hampshire,"Synthetic opioids, excl. methadone (T40.4)",2015-02-01,2015,2,FEB,15,14.75,186.0,data_value,12 month-ending,100,0.104411380840512,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
NM,New Mexico,"Synthetic opioids, excl. methadone (T40.4)",2015-02-01,2015,2,FEB,10,10.416666666666666,61.0,data_value,12 month-ending,100,0.0411305012045361,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
NV,Nevada,"Synthetic opioids, excl. methadone (T40.4)",2015-02-01,2015,2,FEB,4,4.0,30.0,data_value,12 month-ending,100,0.0044193035177656,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
NY,New York,"Synthetic opioids, excl. methadone (T40.4)",2015-02-01,2015,2,FEB,71,71.33333333333334,268.0,data_value,12 month-ending,100,0.29460542444813,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
OH,Ohio,"Synthetic opioids, excl. methadone (T40.4)",2015-02-01,2015,2,FEB,104,103.66666666666667,,missing,12 month-ending,100,0.0060062121394127,True,deconvolution_from_12mo_rolling_seeded_first_year_avg
