state_abbr,state_name,year,population,source_dataset,source_url,source_note
AK,Alaska,2015,738432,ACS 1-year B01003_001E,"https://api.census.gov/data/2015/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AK,Alaska,2016,741894,ACS 1-year B01003_001E,"https://api.census.gov/data/2016/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AK,Alaska,2017,739795,ACS 1-year B01003_001E,"https://api.census.gov/data/2017/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AK,Alaska,2018,737438,ACS 1-year B01003_001E,"https://api.census.gov/data/2018/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AK,Alaska,2019,731545,ACS 1-year B01003_001E,"https://api.census.gov/data/2019/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AK,Alaska,2020,733391,2020 Census PL P1_001N,"https://api.census.gov/data/2020/dec/pl?get=NAME,P1_001N&for=state:*",Decennial census count
AK,Alaska,2021,732673,ACS 1-year B01003_001E,"https://api.census.gov/data/2021/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AK,Alaska,2022,733583,ACS 1-year B01003_001E,"https://api.census.gov/data/2022/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AK,Alaska,2023,733406,ACS 1-year B01003_001E,"https://api.census.gov/data/2023/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AK,Alaska,2024,740133,ACS 1-year B01003_001E,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AK,Alaska,2025,740133,Carry-forward from 2024 ACS,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B01003_001E&for=state:*",Used for 2025 monthly normalization
AL,Alabama,2015,4858979,ACS 1-year B01003_001E,"https://api.census.gov/data/2015/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AL,Alabama,2016,4863300,ACS 1-year B01003_001E,"https://api.census.gov/data/2016/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AL,Alabama,2017,4874747,ACS 1-year B01003_001E,"https://api.census.gov/data/2017/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AL,Alabama,2018,4887871,ACS 1-year B01003_001E,"https://api.census.gov/data/2018/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AL,Alabama,2019,4903185,ACS 1-year B01003_001E,"https://api.census.gov/data/2019/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AL,Alabama,2020,5024279,2020 Census PL P1_001N,"https://api.census.gov/data/2020/dec/pl?get=NAME,P1_001N&for=state:*",Decennial census count
AL,Alabama,2021,5039877,ACS 1-year B01003_001E,"https://api.census.gov/data/2021/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AL,Alabama,2022,5074296,ACS 1-year B01003_001E,"https://api.census.gov/data/2022/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AL,Alabama,2023,5108468,ACS 1-year B01003_001E,"https://api.census.gov/data/2023/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AL,Alabama,2024,5157699,ACS 1-year B01003_001E,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AL,Alabama,2025,5157699,Carry-forward from 2024 ACS,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B01003_001E&for=state:*",Used for 2025 monthly normalization
AR,Arkansas,2015,2978204,ACS 1-year B01003_001E,"https://api.census.gov/data/2015/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AR,Arkansas,2016,2988248,ACS 1-year B01003_001E,"https://api.census.gov/data/2016/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AR,Arkansas,2017,3004279,ACS 1-year B01003_001E,"https://api.census.gov/data/2017/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AR,Arkansas,2018,3013825,ACS 1-year B01003_001E,"https://api.census.gov/data/2018/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AR,Arkansas,2019,3017804,ACS 1-year B01003_001E,"https://api.census.gov/data/2019/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AR,Arkansas,2020,3011524,2020 Census PL P1_001N,"https://api.census.gov/data/2020/dec/pl?get=NAME,P1_001N&for=state:*",Decennial census count
AR,Arkansas,2021,3025891,ACS 1-year B01003_001E,"https://api.census.gov/data/2021/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AR,Arkansas,2022,3045637,ACS 1-year B01003_001E,"https://api.census.gov/data/2022/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AR,Arkansas,2023,3067732,ACS 1-year B01003_001E,"https://api.census.gov/data/2023/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AR,Arkansas,2024,3088354,ACS 1-year B01003_001E,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
